window_index,window_start,window_end,label,fit_success,base_scale,alpha_relative_l2_to_full,feature_mass_relative_l2_to_full,half_life_mass_relative_l2_to_full,userday_excitation_relative_l2_to_full,daily_excitation_relative_l2_to_full,test_poisson_loglik,test_delta_poisson_loglik_vs_personalized,test_mean_poisson_nll,test_delta_mean_poisson_nll_vs_personalized,test_mae,test_delta_mae_vs_personalized
10,2025-03-26,2025-04-01,03-26..04-01,1,0.8339665836956885,0.25510443617255063,0.1434854686493637,0.19703911226656803,0.18607711298917218,0.18615555235899453,-203808.2336961599,6358.778811273747,0.3971956425152887,-0.012392429833437413,0.21496526279234862,-0.0037349268648744494
11,2025-04-02,2025-04-08,04-02..04-08,1,0.8627514112852771,0.20439617855550143,0.2090370321579633,0.28426391337378987,0.303140039897505,0.30407605138787586,-204383.73476276605,5783.277744667605,0.39831721896867006,-0.011270853380056067,0.21586288019510985,-0.002837309462113219
12,2025-04-09,2025-04-15,04-09..04-15,1,0.9294234654230321,0.6322482044331261,0.6331980091242059,0.6207174715554684,0.4098002683913092,0.37996584639284425,-204955.0636239078,5211.948883525853,0.3994306643382376,-0.010157408010488533,0.2211263124472023,0.0024261227899792237
13,2025-04-16,2025-04-22,04-16..04-22,1,0.8699582150624805,1.198106990084739,0.2772900995816641,1.0799071492797054,0.3894713976470872,0.3483196580644957,-204757.88174825555,5409.130759178108,0.3990463826025506,-0.010541689746175531,0.21615175064043643,-0.002548439016786641
14,2025-04-23,2025-04-29,04-23..04-29,1,0.892466651758119,2.6158709693336464,2.103907436209094,1.664850994598324,0.3338760815024531,0.2617046898497345,-204540.39634501294,5626.616162420716,0.39862253194199565,-0.010965540406730478,0.2191843443921297,0.0004841547349066222
15,2025-04-30,2025-05-06,04-30..05-06,1,0.8058574396436138,0.22125247295881403,0.2255149070811526,0.2327268131342699,0.0908201952980439,0.05616839611096555,-203267.7213350019,6899.291172431753,0.39614225448142903,-0.013445817867297094,0.21414387551515773,-0.0045563141420653375
16,2025-05-07,2025-05-13,05-07..05-13,1,0.8288940601025708,0.10242411311810645,0.10299005948330335,0.053067148574452126,0.04090940944659731,0.01429330519168127,-203143.38913285412,7023.6233745795325,0.395899947249666,-0.013688125099060144,0.21693103339182251,-0.0017691562654005566
17,2025-05-14,2025-05-20,05-14..05-20,1,0.8276712111463879,0.23504764463149563,0.30624568593135265,0.2880235000303932,0.18170632613662907,0.16365206019261738,-202645.82898992373,7521.183517509926,0.39493026748218485,-0.01465780486654128,0.21933436353567629,0.0006341738784532147
18,2025-05-21,2025-05-27,05-21..05-27,1,0.852901617579831,0.8055554231550599,0.4261886238931228,0.5328977127680677,0.2456328156178674,0.24544521096515792,-204114.63082951482,6052.381677918835,0.39779277053136863,-0.011795301817357495,0.2159061713018653,-0.00279401835535778
19,2025-05-28,2025-06-03,05-28..06-03,1,0.8084398402441635,0.39525966439718896,0.39737667933241794,0.3790197701516957,0.11913516650860254,0.07055426988775276,-202885.7004775198,7281.312029913854,0.3953977456988837,-0.014190326649842433,0.21631155569898525,-0.0023886339582378235
20,2025-06-04,2025-06-10,06-04..06-10,1,0.8856858985429841,1.1831881866692757,0.34639655496366106,0.9286354450128224,0.25474412738244556,0.25518210270040514,-204252.52865304542,5914.483854388236,0.39806151538836176,-0.011526556960364365,0.2187067478085993,6.558151376234722e-06
21,2025-06-11,2025-06-17,06-11..06-17,1,0.867204540681612,1.6196818492289689,1.075584947295598,1.8530666290533742,0.3146936865953345,0.1309254184457829,-204027.80315718765,6139.209350246005,0.3976235547324156,-0.01196451761631051,0.21909263520395858,0.00039244554673550924
22,2025-06-18,2025-06-24,06-18..06-24,1,0.8669479555632694,0.29241965031563405,0.2726616943535477,0.19620445844355028,0.1513336882385382,0.12802613812265162,-203669.08139415894,6497.93111327471,0.3969244528435154,-0.012663619505210721,0.2189081929957549,0.00020800333853182584
23,2025-06-25,2025-07-01,06-25..07-01,1,0.8455230254502492,2.919694218617992,2.7876068544851385,3.0596333765636046,0.189583085470804,0.03172307483367327,-203433.4619439919,6733.550563441764,0.39646526129270826,-0.013122811056017869,0.21834801502715773,-0.0003521746300653439
24,2025-07-02,2025-07-08,07-02..07-08,1,0.8081439409386906,0.8016429581298408,0.5538290507879339,0.4674704901627788,0.22373364663600545,0.17234753508402686,-202703.51072496013,7463.501782473526,0.3950426816540447,-0.014545390694681415,0.21783187591388997,-0.000868313743333099
25,2025-07-09,2025-07-15,07-09..07-15,1,0.8567202023284384,0.1212076589110587,0.10395428357079764,0.054467516235603,0.1402050948442093,0.15185687168335982,-202814.16163090122,7352.850876532437,0.395258325825446,-0.014329746523280118,0.22198599607582414,0.0032858064186010727
26,2025-07-16,2025-07-22,07-16..07-22,1,0.7848415171407581,0.37136307679206987,0.4180200655733496,0.3182933072758614,0.36967918822036155,0.32015024454614627,-202309.49201334134,7857.520494092314,0.39427479061997694,-0.015313281728749184,0.2178715631524422,-0.0008286265047808827
27,2025-07-23,2025-07-29,07-23..07-29,1,0.7860339951354665,1.2550429136158348,1.0385146464698602,0.8405225192866977,0.18066252134640734,0.1491209347638835,-202685.98334138002,7481.029166053631,0.3950085230714573,-0.014579549277268844,0.21551585485596458,-0.003184334801258487
28,2025-07-30,2025-08-05,07-30..08-05,1,0.7595236637807042,0.7541451704236034,0.6765540652973073,0.6728146106098465,0.502273722169233,0.5568423000217089,-201670.94931516622,8496.063192267437,0.3930303542560702,-0.016557718092655938,0.21901482558098545,0.0003146359237623797
