block_idx,block_label,setting_label,alpha_l2,scale_l2,personalized_nll,test_nll,learned_base_scale,alpha_l2_norm,fit_success,is_degenerate,delta_vs_personalized_nll,fit_seconds
8,2025-07-02..2025-07-22,"F: warm-start from ch.6, no reg",0.0,0.0,0.3970007457533599,0.3970007459170629,1.0000000520973285,0.0,True,True,1.6370299560364288e-10,0.1851959228515625
9,2025-07-23..2025-08-12,"A: default (1e-4, 10.0)",0.0001,10.0,0.40498365918124063,0.4049836593462223,0.9999999541878362,0.0,True,True,1.649816949722549e-10,0.24171900749206543
9,2025-07-23..2025-08-12,"B: alpha_l2=0, scale_l2=10.0",0.0,10.0,0.40498365918124063,0.404983659346222,0.9999999541879043,0.0,True,True,1.649813619053475e-10,0.24697399139404297
9,2025-07-23..2025-08-12,"C: alpha_l2=1e-4, scale_l2=0.1",0.0001,0.1,0.40498365918124063,0.4049836593465888,0.9999999540860586,0.0,True,True,1.6534817959268366e-10,0.25852108001708984
9,2025-07-23..2025-08-12,"D: alpha_l2=1e-4, scale_l2=0.0",0.0001,0.0,0.40498365918124063,0.4049836593465602,0.9999999540939887,0.0,True,True,1.6531959134979957e-10,0.2616078853607178
9,2025-07-23..2025-08-12,E: no regularization,0.0,0.0,0.40498365918124063,0.4049836593465608,0.9999999540938571,0.0,True,True,1.6532014646131188e-10,0.2568650245666504
9,2025-07-23..2025-08-12,"F: warm-start from ch.6, no reg",0.0,0.0,0.40498365918124063,0.4049836593438369,0.9999999548502172,0.0,True,True,1.625962697815453e-10,0.1925811767578125
10,2025-08-13..2025-09-02,"A: default (1e-4, 10.0)",0.0001,10.0,0.417165827721627,0.4171658274978418,0.9999999829823533,0.0,True,True,-2.2378521258303863e-10,0.22362494468688965
10,2025-08-13..2025-09-02,"B: alpha_l2=0, scale_l2=10.0",0.0,10.0,0.417165827721627,0.41716582749784265,0.9999999829824207,0.0,True,True,-2.2378437991577016e-10,0.22416090965270996
10,2025-08-13..2025-09-02,"C: alpha_l2=1e-4, scale_l2=0.1",0.0001,0.1,0.417165827721627,0.41716582752247594,0.9999999848556431,0.0,True,True,-1.9915108451229457e-10,0.22373223304748535
10,2025-08-13..2025-09-02,"D: alpha_l2=1e-4, scale_l2=0.0",0.0001,0.0,0.417165827721627,0.4171658275386418,0.9999999860849683,0.0,True,True,-1.8298523807303013e-10,0.2238912582397461
10,2025-08-13..2025-09-02,E: no regularization,0.0,0.0,0.417165827721627,0.417165827538642,0.9999999860849856,0.0,True,True,-1.829850160284252e-10,0.2200171947479248
10,2025-08-13..2025-09-02,"F: warm-start from ch.6, no reg",0.0,0.0,0.417165827721627,0.417165827901499,1.000000013678285,0.0,True,True,1.7987195066737627e-10,0.19641494750976562
11,2025-09-03..2025-09-23,"A: default (1e-4, 10.0)",0.0001,10.0,0.4215123001305136,0.4215123004900623,1.0000005050079441,0.0,True,True,3.595486686158722e-10,0.2532992362976074
11,2025-09-03..2025-09-23,"B: alpha_l2=0, scale_l2=10.0",0.0,10.0,0.4215123001305136,0.42151230025756564,1.000000178457683,0.0,True,True,1.2705203555896105e-10,0.2425079345703125
11,2025-09-03..2025-09-23,"C: alpha_l2=1e-4, scale_l2=0.1",0.0001,0.1,0.4215123001305136,0.4215123004060203,1.0000003869700462,0.0,True,True,2.755066730308897e-10,0.264085054397583
11,2025-09-03..2025-09-23,"D: alpha_l2=1e-4, scale_l2=0.0",0.0001,0.0,0.4215123001305136,0.42151230039822574,1.0000003760223946,0.0,True,True,2.677121302419039e-10,0.26224327087402344
11,2025-09-03..2025-09-23,E: no regularization,0.0,0.0,0.4215123001305136,0.4215123003982257,1.0000003760222829,0.0,True,True,2.6771207473075265e-10,0.26839566230773926
11,2025-09-03..2025-09-23,"F: warm-start from ch.6, no reg",0.0,0.0,0.4215123001305136,0.4215123001358863,1.0000000075467044,0.0,True,True,5.37270228306852e-12,0.20551705360412598
12,2025-09-24..2025-10-14,"A: default (1e-4, 10.0)",0.0001,10.0,0.3961876234408096,0.3961876265752917,1.0000003397951462,0.0,True,True,3.1344821183054705e-09,0.24711203575134277
12,2025-09-24..2025-10-14,"B: alpha_l2=0, scale_l2=10.0",0.0,10.0,0.3961876234408096,0.39618762657529455,1.0000003397954529,0.0,True,True,3.1344849493741833e-09,0.2456989288330078
12,2025-09-24..2025-10-14,"C: alpha_l2=1e-4, scale_l2=0.1",0.0001,0.1,0.3961876234408096,0.3961876228621367,0.9999999372685058,0.0,True,True,-5.786728873857783e-10,0.24074602127075195
12,2025-09-24..2025-10-14,"D: alpha_l2=1e-4, scale_l2=0.0",0.0001,0.0,0.3961876234408096,0.39618762257555884,0.999999906201786,0.0,True,True,-8.652507599293813e-10,0.23959589004516602
12,2025-09-24..2025-10-14,E: no regularization,0.0,0.0,0.3961876234408096,0.39618762257856405,0.9999999065275681,0.0,True,True,-8.622455527351747e-10,0.2514979839324951
12,2025-09-24..2025-10-14,"F: warm-start from ch.6, no reg",0.0,0.0,0.3961876234408096,0.3961876225626621,0.9999999048036997,0.0,True,True,-8.781474991614857e-10,0.19721484184265137
