target,source,anchor_pin_val,pin_value,alpha_full,train_nll_mean,test_nll_mean,lam_u_mean,mean_baseline_train,mean_hawkes_train,mean_baseline_test,mean_hawkes_test,converged
to_cart,searches,0.015221492786907782,0.06,"[0.06, 0.018156409719875526, 0.0]",0.84284507684259,0.9933066317634055,0.6371381544028042,0.23943266413557365,0.15787738533586046,0.2841074721890923,0.17935819834143651,True
to_cart,searches,0.015221492786907782,0.07,"[0.07, 0.007846404304830806, 0.0]",0.8480641437917468,0.9980158651217078,0.6213313302702088,0.2334260188353769,0.1742154409613808,0.27708824387445746,0.19740319975713747,True
to_cart,searches,0.015221492786907782,0.08,"[0.08, 0.0, 0.0]",0.8539167211239889,1.0034104472922334,0.6027663212329318,0.22644114149782263,0.1923961702406142,0.26883136222659226,0.2176369131249493,True
to_cart,searches,0.015221492786907782,0.09,"[0.09, 0.0, 0.0]",0.8607119502203399,1.008653389056945,0.5768282441911581,0.21661433182225848,0.21644569152069099,0.2573060187135567,0.24484152726556796,True
to_cart,searches,0.015221492786907782,0.1,"[0.1, 0.0, 0.0]",0.8682694553247325,1.0151274977773856,0.5528853782258607,0.20754346489230532,0.24049521280076777,0.24666226422760326,0.2720461414061866,True
to_cart,to_cart,0.07680811857893645,0.0,"[0.028586848957363097, 0.0, 0.02953262099965945]",0.8354714570027327,0.9975076952590499,0.7704313735745909,0.2899412637244501,0.07479435810473156,0.343275254485109,0.08537047127226544,True
to_cart,to_cart,0.07680811857893645,0.015362,"[0.02614513644123407, 0.015362, 0.012505490256971273]",0.8335569120741979,0.9937022005525731,0.7608219039558538,0.28630072204084644,0.07692741609926465,0.3390011639953446,0.08799337959437711,True
to_cart,to_cart,0.07680811857893645,0.030723,"[0.023483178631809286, 0.030723, 0.0]",0.8320771294699902,0.9908496759474988,0.7566173551097504,0.2846983000730432,0.07945547763630106,0.33712553943431656,0.0911800021955097,True
to_cart,to_cart,0.07680811857893645,0.046085,"[0.020747260935649766, 0.046085, 0.0]",0.8315902738727349,0.9877412031534692,0.7436449845493945,0.27976864083904446,0.08436587913725103,0.33135986611471047,0.09738494830502303,True
to_cart,to_cart,0.07680811857893645,0.061446,"[0.01854121155184654, 0.061446, 0.0]",0.8313600858225877,0.9855901019828425,0.7262431825739682,0.2731188210141134,0.09054984060414767,0.32362131397741184,0.10503049229305747,True
to_cart,to_cart,0.07680811857893645,0.076808,"[0.01560592817559036, 0.076808, 0.0]",0.8313982001100099,0.9841056710762885,0.7223245203383094,0.27147231407532374,0.09498077718849748,0.32182373570587464,0.11069307176257964,True
to_cart,to_cart,0.07680811857893645,0.09217,"[0.013626115626044948, 0.09217, 0.0]",0.8314889827080917,0.9831469325283761,0.7142000856779426,0.2685493234953551,0.10170957537079463,0.31826534807742446,0.11895497274843025,True
to_cart,to_cart,0.07680811857893645,0.107531,"[0.011676471096164967, 0.107531, 0.0]",0.8321608329246368,0.9823370437251421,0.7047191531094523,0.26492597322538725,0.10851017823676547,0.3140420314271615,0.12729805624794105,True
to_cart,to_cart,0.07680811857893645,0.122893,"[0.009704300751804847, 0.122893, 0.0]",0.8331914169772296,0.982314986117414,0.6979450250475149,0.26236546067317523,0.11525735555668562,0.31102623209304586,0.13558074755811658,True
to_cart,to_cart,0.07680811857893645,0.138255,"[0.008234129782495936, 0.138255, 0.0]",0.8345370738616954,0.982573058948134,0.6871126282452518,0.25824177177346075,0.12321181734189372,0.3062063310633368,0.14522910879800208,True
to_cart,to_cart,0.07680811857893645,0.153616,"[0.006399474791223341, 0.153616, 0.0]",0.8361570605457983,0.9833836436283981,0.684431686585546,0.25722945101021993,0.13028896454343702,0.3050096028218878,0.15388501690031506,True
to_cart,to_ord,0.0,0.0,"[0.015956709697029395, 0.07535766867562028, 0.0]",0.8309687307391406,0.9841625314090726,0.7246667662038758,0.2725136729499688,0.09473960098099067,0.32292158900932605,0.11035885632277993,True
to_cart,to_ord,0.0,0.01,"[0.015818465710949314, 0.07342912505495856, 0.01]",0.8311688744639228,0.9842965726633927,0.7244140495204452,0.2724164133636504,0.09501132910086042,0.3228094661545714,0.1108431942245683,True
to_cart,to_ord,0.0,0.02,"[0.015774512202703334, 0.07154968165047708, 0.02]",0.8313848701937294,0.9844205811520711,0.7227496563155589,0.2717769265947045,0.09554654627518859,0.3220729252958609,0.11162766733619026,True
to_cart,to_ord,0.0,0.03,"[0.015669658707361856, 0.06964756642458561, 0.03]",0.8316278298178971,0.9846367020474361,0.72255280653958,0.2717014811500147,0.09591834429359854,0.32198944334916607,0.11222632228825172,True
to_cart,to_ord,0.0,0.04,"[0.015537452622581313, 0.06784656338167849, 0.04]",0.8318950869482978,0.9848476788857058,0.7224915510245496,0.2716777344691117,0.09629998845341468,0.3219633565073858,0.11284039563935808,True
