user_id,mu_eb,lambda_u,train_purchases,m_staged,m_joint
627280,0.3576738382163996,0.20042171890548313,7.0,0.29549953129815865,0.20042171890548313
627452,0.26686360890204364,0.13539236536096172,5.0,0.22047480952011467,0.13539236536096172
627560,0.7531162666352982,0.6986663835591168,12.0,0.6222023531648556,0.6986663835591168
627664,3.3090062909329676,1.8477614551520982,72.0,2.7338029890845874,1.8477614551520982
627692,0.2214584942448657,0.15067084024857053,4.0,0.1829624486310927,0.15067084024857053
627767,0.6755096408166454,0.45888700916658015,14.0,0.5580860575213126,0.45888700916658015
627867,2.2646886538178745,1.8091674703444631,49.0,1.8710186886370819,1.8091674703444631
627913,7.849517756650766,3.924471262984353,172.0,6.485039077986786,3.924471262984353
628021,0.2214584942448657,0.08319008308506852,4.0,0.1829624486310927,0.08319008308506852
628282,3.7630574375047474,2.1348438774970626,82.0,3.1089265979748073,2.1348438774970626
628444,0.322568130158655,0.2134753506102003,5.0,0.2664962350864932,0.2134753506102003
628522,0.17605337958768771,0.11973693362620827,3.0,0.14545008774207072,0.11973693362620827
628633,0.17605337958768771,0.09182287348644158,3.0,0.14545008774207072,0.09182287348644158
628660,0.592853558524745,0.6237630108797354,7.0,0.48979805049793856,0.6237630108797354
628670,0.2607181055534849,0.19366945275471553,4.0,0.2153975766753919,0.19366945275471553
628689,1.583611933960205,1.084163478195339,34.0,1.3083332753017523,1.084163478195339
628694,0.8117249847881794,0.6637216559638847,17.0,0.6706231401883785,0.6637216559638847
628802,0.4484840675307556,0.28272838789548044,9.0,0.3705242530762026,0.28272838789548044
628847,0.45689236762109153,0.21669607570670993,9.0,0.37747094156787053,0.21669607570670993
628966,0.5846994115022895,0.48564093035016603,12.0,0.48306133574326865,0.48564093035016603
629024,0.8571300994453573,0.6275786701227223,18.0,0.7081355010774005,0.6275786701227223
629054,0.9025352141025353,0.6850717849090325,19.0,0.7456478619664225,0.6850717849090325
629226,0.2214584942448657,0.12314948422775251,4.0,0.1829624486310927,0.12314948422775251
629272,0.08524315027333176,0.010385351962476455,1.0,0.07042536596402675,0.010385351962476455
629391,1.2203710167027813,0.8688268637973161,26.0,1.0082343881895763,0.8688268637973161
629409,0.31226872355922164,0.18426068520652894,6.0,0.25798717040913666,0.18426068520652894
629468,0.3576738382163996,0.18379753132355434,7.0,0.29549953129815865,0.18379753132355434
629498,0.5846994115022895,0.49433102050518746,12.0,0.48306133574326865,0.49433102050518746
629507,0.17605337958768771,0.07342249305438432,3.0,0.14545008774207072,0.07342249305438432
629574,1.8560426219032728,1.2654480568869189,40.0,1.5334074406358842,1.2654480568869189
629644,0.31226872355922164,0.16049016114031858,6.0,0.25798717040913666,0.16049016114031858
629654,0.13723807248983474,0.08801173004908636,2.0,0.11338203067699086,0.08801173004908636
629782,0.5930308580332107,0.3713280191442608,12.0,0.4899445301004509,0.3713280191442608
629822,2.8549551443611882,1.484969303607108,62.0,2.358679380194368,1.484969303607108
630093,1.492801704645849,1.0851716910702003,32.0,1.2333085535237083,1.0851716910702003
630201,0.5846994115022895,0.4160234198053647,12.0,0.48306133574326865,0.4160234198053647
630270,1.0841556727312474,0.9476304694143424,23.0,0.8956973055225105,0.9476304694143424
630644,0.6301045261594675,0.3549490596783031,13.0,0.5205736966322906,0.3549490596783031
630951,0.5392942968451115,0.3405887884863681,11.0,0.4455489748542466,0.3405887884863681
631050,5.942502941049291,3.2319256979642588,130.0,4.909519920647863,3.2319256979642588
631051,0.30564410002868303,0.3719023255729332,3.0,0.2525141026609819,0.3719023255729332
631117,1.311181246017137,0.9811288038068285,28.0,1.0832591099676203,0.9811288038068285
631169,1.7652323925889168,1.4379051666040537,38.0,1.4583827188578402,1.4379051666040537
631179,0.6039877135838448,0.36564453685793574,12.0,0.4989967596285025,0.36564453685793574
631297,0.17605337958768771,0.08072609288076583,3.0,0.14545008774207072,0.08072609288076583
