user_id,ll_personalized_poisson,ll_experimental_1_hawkes,test_purchases
27379,-23.995883646080575,-22.465420129271884,8.0
27597,-22.967297388370852,-22.943360876584325,8.0
27699,-36.71616102647282,-32.93733541385618,12.0
27749,-26.32933338067087,-26.30513149388106,9.0
27780,-45.320528192722875,-45.0364485451516,20.0
27859,-17.71828274852616,-15.904448939910564,2.0
28113,-15.223772693703994,-15.651014643760602,4.0
28150,-12.08029719528087,-11.696056361611355,3.0
28171,-5.976579852559027,-7.4226093415218415,1.0
28196,-4.948185986688612,-4.683936329183608,1.0
28272,-21.7172277180905,-19.889139774324637,6.0
28335,-15.301783710490652,-14.328466006234393,4.0
28375,-2.9172432214727197,-2.4891728222832747,0.0
28432,-8.733998597143316,-8.91888967428295,2.0
28436,-3.607351978415468,-3.029569763326442,0.0
28489,-15.316894143489584,-14.803108283516277,4.0
28523,-21.9483096765468,-20.954680135130154,5.0
28525,-15.322988180151642,-14.285498854205844,3.0
28572,-58.655878291598135,-57.79364985478647,25.0
28582,-9.590306930023576,-9.562454460285492,2.0
28653,-61.43134129904262,-59.84201341148071,22.0
28700,-23.889534706604802,-21.747349315550697,6.0
28830,-13.33998766322955,-13.194252501467615,3.0
28876,-23.927962047106693,-23.76142899950242,8.0
28991,-95.43467859616541,-85.4272545995039,18.0
29136,-21.090388114334015,-20.720508203137662,6.0
29244,-30.17391411234244,-30.18806452534045,11.0
29253,-10.02692794325416,-11.02061687411296,2.0
29410,-17.524193513330566,-17.955457835783537,4.0
29468,-17.55821834532251,-17.48745230053809,5.0
29642,-2.6962044038150594,-2.271190709303847,0.0
29769,-16.902418780574155,-11.992674421395,3.0
29896,-1.7850568292146498,-1.478372116919687,0.0
29989,-33.94687249865725,-32.951155503144705,9.0
30072,-10.740347548619846,-9.701263533572746,1.0
30128,-32.41087352329377,-32.429534504780335,12.0
30244,-14.606779569185735,-13.977324796875017,4.0
30370,-4.950047410509845,-4.982361614022876,1.0
30375,-8.490769005737926,-8.7974666032917,2.0
30399,-0.8739092546142408,-0.7219979448665809,0.0
30427,-1.502448762216766,-1.25891881593615,0.0
30586,-36.05137939319188,-31.76397186261019,12.0
30612,-20.309905040484995,-18.531929952735872,6.0
30945,-67.84132140389018,-66.01425795447216,23.0
30954,-0.8739092546142408,-0.9615062608176044,0.0
31047,-14.306135085969627,-13.688918122606232,3.0
31090,-51.760730200376756,-51.512996359852615,21.0
31207,-24.48392847555534,-23.98980454083303,7.0
31683,-17.872997611272826,-16.583343154262213,3.0
31877,-2.2899627757125125,-2.183440986033083,0.0
31890,-53.62036846809394,-55.49536776860882,16.0
31904,-40.66034936773553,-36.30187668913617,10.0
31909,-22.68741072301116,-22.504602281821406,6.0
32022,-77.4927670637429,-66.45333115990601,21.0
32091,-48.84549466280303,-48.047973106158025,21.0
32113,-7.951513385099649,-7.600736414730412,1.0
32224,-8.693065721674193,-8.82363166298337,2.0
32226,-22.82609542442976,-22.59749324849469,7.0
32235,-23.482862197139465,-23.071136475191395,7.0
32275,-5.077156046426035,-5.075879742186181,1.0
32319,-4.93068181403096,-4.886984840653249,1.0
32378,-33.10854305666204,-33.08734103159268,9.0
32517,-6.1549022829986,-6.190513201001007,1.0
32559,-30.61057387891353,-27.289651699692328,6.0
