user_id,ll_global_poisson,ll_rolling_poisson,ll_rolling_seasonal_poisson,ll_personalized_rolling_seasonal_poisson,test_purchases
358227,-16.235193777918155,-16.536749546960046,-16.813330527141133,-16.920459485246443,4.0
358481,-7.613950499977116,-8.759066231784013,-8.815164828986862,-7.036929188826616,1.0
358771,-26.034319370095407,-25.81697466966633,-25.615896252143894,-29.544431949333116,8.0
358928,-22.65921247852297,-22.266117709222645,-22.303532641590948,-23.282179167539226,7.0
359132,-12.16693970578577,-12.906903191358463,-12.89586258283189,-11.626808003849339,3.0
359211,-5.337455897072789,-6.678133979996367,-6.689023042740466,-2.6962044038150594,0.0
359239,-21.966065297963027,-21.885749989515187,-21.871366061840988,-21.897383782698633,7.0
359298,-17.41307609215437,-17.74186221974354,-17.67884234123342,-17.448206607971915,5.0
359378,-5.337455897072789,-6.678133979996367,-6.689023042740466,-3.607351978415468,0.0
359515,-29.89416139534412,-29.267826822657977,-29.419080725319745,-41.26312282698839,10.0
359583,-9.890445102881444,-10.815027765553292,-10.79582731705994,-11.64370001225807,2.0
359935,-124.13459788214507,-117.29038647684861,-117.74569985518104,-81.7988840053538,39.0
359986,-5.337455897072789,-6.678133979996367,-6.689023042740466,-7.251942276817105,0.0
360181,-22.65921247852297,-22.32101080170699,-22.280693553779617,-22.46569296084939,7.0
360330,-9.890445102881444,-10.760253703071372,-10.817111148085148,-8.731772611388847,2.0
360340,-45.42415850756625,-42.84005063518817,-42.78489280486134,-38.27738072789394,17.0
360413,-5.337455897072789,-6.678133979996367,-6.689023042740466,-4.518499553015877,0.0
360455,-31.973602937023955,-31.030692551558715,-31.173297096258967,-31.759292678519348,10.0
360499,-18.106223272714317,-18.359410783952413,-18.256088042187077,-18.397921692232917,5.0
360562,-37.21973932339255,-35.94701158597241,-35.9258957495805,-35.51919695680997,12.0
360639,-16.235193777918152,-16.64561676695275,-16.561021516727262,-25.98514858986277,4.0
360773,-16.719928911594426,-16.82285266445314,-16.832093968666435,-16.991005691556754,5.0
360791,-5.337455897072789,-6.678133979996367,-6.689023042740466,-1.4813409710145136,0.0
360809,-9.890445102881444,-10.816579070898952,-10.894649960813224,-10.11698187678747,2.0
360840,-24.9357070814273,-24.320091725943733,-24.28474230532132,-24.319256505073525,8.0
361056,-5.337455897072789,-6.678133979996367,-6.689023042740466,-4.822215411216014,0.0
361240,-7.613950499977117,-8.746004908236602,-8.741849215361976,-6.061906407351035,1.0
361248,-171.09368668274877,-159.91967794652967,-159.3662342231072,-84.63174268933277,60.0
361436,-77.13108999144228,-73.69310677729288,-73.90256058836871,-62.80118118604949,25.0
361446,-12.16693970578577,-12.881412368684154,-12.753878231570113,-11.484823652587561,3.0
361523,-133.80947068048002,-126.43931330808924,-125.5416523176277,-103.43264440522914,40.0
361554,-5.337455897072789,-6.678133979996367,-6.689023042740466,-2.088772687414786,0.0
361581,-9.890445102881444,-10.828931000919658,-10.80132794115251,-8.528859922654796,2.0
361701,-5.337455897072789,-6.678133979996367,-6.689023042740466,-1.2799175959523963,0.0
361707,-12.16693970578577,-12.800744620702785,-12.827772238222085,-11.65978920298571,3.0
361768,-12.860086886345716,-13.639116138265566,-13.644930310884371,-12.70401683490226,3.0
361808,-7.613950499977116,-8.707650943824385,-8.763749541027236,-5.180800906682654,1.0
361879,-42.87134081786932,-40.71088291270035,-41.193643131546835,-48.52402635607198,14.0
361892,-22.1744773448467,-22.14435850657673,-22.080782639038123,-22.076330937909432,6.0
361962,-16.235193777918152,-16.89693654577421,-16.723261342040786,-17.545659638133696,4.0
361979,-15.136581489250045,-15.50913809802081,-15.602588694899358,-14.990893037779502,4.0
361998,-25.341172189535463,-25.236015246279006,-25.321174405811544,-28.047128601202154,8.0
362050,-9.890445102881444,-10.691276062597952,-10.632576691830149,-8.557066663887566,2.0
362171,-5.337455897072789,-6.678133979996367,-6.689023042740466,-0.8739092546142408,0.0
362288,-17.41307609215437,-17.557018839483934,-17.499083497172318,-20.501533305314886,5.0
362338,-26.03431937009541,-25.231967941528985,-25.19316392379552,-25.409730947261448,8.0
362361,-51.32162152467558,-48.93248119887435,-48.534495404418365,-52.98829943879389,15.0
362529,-20.382717875618642,-20.448240780652377,-20.329362387409667,-20.298695713996278,6.0
362640,-17.41307609215437,-17.74611374657847,-17.66648632365793,-18.665948023979468,5.0
362737,-26.51905450377168,-26.062669407579016,-26.022175009873994,-25.83789338500972,9.0
362824,-5.337455897072789,-6.678133979996367,-6.689023042740466,-2.088772687414786,0.0
362829,-23.783915257280803,-23.70736736038637,-23.709455624396085,-23.845117476032303,6.0
362849,-40.18938110685683,-38.80862919332207,-39.335081251005455,-47.15435931610073,13.0
363047,-9.890445102881444,-10.761916084360049,-10.793087059844016,-14.463537155549645,2.0
363052,-78.836609820752,-73.91282692963203,-74.27750004935606,-60.112152155177014,28.0
363142,-5.337455897072789,-6.678133979996367,-6.689023042740466,-1.7850568292146498,0.0
363164,-34.681653138126165,-33.53109197375147,-33.28690198499078,-43.15442083281199,10.0
363328,-67.51867532736793,-63.39744380643465,-63.39581588613221,-51.81140119165845,23.0
363399,-15.829728669809988,-16.257571442749967,-16.49172553313006,-16.502950096265575,4.0
363407,-25.628854261987243,-25.077197276155065,-25.04784704741112,-38.62699751905725,8.0
363435,-50.60238385402592,-47.989592693213986,-47.78980106752382,-47.41550449473521,16.0
363719,-14.4434343086901,-14.8198721314216,-14.759483095899558,-17.605010807349906,4.0
363726,-12.860086886345716,-13.413530684108474,-13.374894170079452,-16.621148128467382,3.0
363749,-59.06739606526272,-56.135255051849114,-55.73576255322988,-86.55508697813538,18.0
363763,-14.4434343086901,-14.80700060011872,-14.763416787144267,-16.18619467344608,4.0
363870,-12.16693970578577,-12.900712269002009,-12.937837343194607,-11.670887174427818,3.0
363908,-39.28782187941321,-37.28594953204316,-37.107973827931154,-50.69825372294264,14.0
363941,-9.890445102881444,-10.83690637268304,-10.817705924189687,-8.732367387493388,2.0
363968,-10.583592283441389,-11.434968808042749,-11.395573446202802,-16.00293875503878,2.0
364047,-7.613950499977116,-8.777143674807684,-8.833242272010533,-5.166772657390955,1.0
364137,-26.51905450377168,-26.03172784067027,-26.091201245890314,-25.815723047583756,9.0
364198,-14.4434343086901,-14.925172998303989,-15.044524655285485,-14.480914190817128,4.0
364357,-15.136581489250043,-15.535073190605152,-15.569242116537328,-15.29017324746419,4.0
364463,-5.337455897072789,-6.678133979996367,-6.689023042740466,-2.3924885456149223,0.0
364472,-32.86380317880839,-31.621674377537985,-31.717018708354406,-31.1060343522001,11.0
364485,-38.803086745736934,-37.292525624463764,-37.44855534698581,-35.43324515054261,13.0
364520,-30.587308575904064,-29.645707596651157,-29.636772052472203,-58.072092863446336,10.0
364525,-19.204835561382424,-19.297787682421813,-19.577151307260657,-25.769559234667103,5.0
364537,-7.613950499977116,-8.771595615456189,-8.759037311307765,-6.079094503296826,1.0
364649,-24.242559900867356,-23.814653131598536,-23.612455670847297,-23.526526632487414,8.0
364706,-15.136581489250045,-15.762408408211751,-15.73632304406645,-15.494569129903097,4.0
364734,-17.41307609215437,-17.698632524631837,-17.69355048024184,-17.508718242910007,5.0
364737,-15.136581489250043,-15.57752275225701,-15.580084471329885,-17.905956952766267,4.0
364769,-51.36344207449479,-48.541299819376775,-48.36203430816812,-40.86338879574092,19.0
364875,-7.613950499977116,-8.723175017660694,-8.708921868112771,-5.4405211452765725,1.0
364996,-7.613950499977116,-8.684246607630737,-8.648994603755455,-5.564798788216254,1.0
365002,-5.337455897072789,-6.678133979996367,-6.689023042740466,-2.6962044038150594,0.0
365023,-23.75782476719108,-23.72453628710912,-23.57583132653533,-25.992341104908533,7.0
365134,-7.613950499977117,-8.693631506062985,-8.681073201914561,-7.0490889245276875,1.0
365141,-9.890445102881444,-10.8217730371582,-10.794169977391052,-10.34732092094742,2.0
365189,-23.064677586631134,-22.879393117874546,-23.136611765652262,-23.56044479169594,7.0
365307,-19.6895706950587,-19.445454693855307,-19.47209503645176,-19.50318678567147,6.0
365309,-12.16693970578577,-12.721632101218926,-12.750354564137728,-11.466898149455913,3.0
365342,-24.242559900867356,-23.887700049446646,-23.928372616006143,-24.862635735633393,8.0
365518,-17.41307609215437,-17.775187323726687,-17.68394992915627,-22.045068977983302,5.0
365550,-9.890445102881444,-10.687644325928705,-10.697601856512174,-8.42964504772506,2.0
365575,-56.76481097226868,-54.50292853381022,-54.289887838781446,-49.17946266553261,18.0
365739,-5.337455897072789,-6.678133979996367,-6.689023042740466,-1.177625112814377,0.0
365825,-53.56066665183101,-50.89389421278021,-51.05891789068253,-45.776248837785985,19.0
365915,-23.064677586631138,-22.630962844630066,-22.461734405273948,-23.702520303557947,7.0
366003,-15.136581489250043,-15.458492588218927,-15.49861489764242,-17.8244873790788,4.0
366315,-23.54941272030741,-23.13843884626357,-22.993453347189067,-25.719407542579678,8.0
366429,-9.890445102881444,-10.797090401594266,-10.736696185426963,-10.28984712898333,2.0
366675,-24.242559900867356,-23.759121611278857,-23.763288025366858,-24.24043834643879,8.0
366749,-14.4434343086901,-14.844506396257641,-14.887077933463614,-15.26718203666274,4.0
366751,-12.860086886345716,-13.498830356840863,-13.439377318907395,-12.322070801829362,3.0
366758,-12.860086886345716,-13.731755290710993,-13.635317464597604,-12.9501956687358,3.0
366881,-51.881237312611006,-49.202614608658386,-48.94463533121176,-50.81416468918158,15.0
366928,-93.46167518675915,-87.52350206056428,-87.96648283868561,-71.85785373003627,33.0
367063,-27.617666792439792,-26.90228725932997,-26.77960300441422,-26.546022228980096,9.0
367130,-12.16693970578577,-12.78655706440871,-12.783919067155932,-12.55628947386653,3.0
367136,-9.890445102881444,-10.729287645295063,-10.668893429127758,-9.118393198843066,2.0
367262,-5.337455897072789,-6.678133979996367,-6.689023042740466,-1.177625112814377,0.0
367279,-36.93205725094077,-35.28481440029268,-35.56325767351438,-37.19403323673196,12.0
367640,-7.613950499977116,-8.701232060573062,-8.778544102676408,-5.004114209566501,1.0
367863,-5.337455897072789,-6.678133979996367,-6.689023042740466,-5.12593126941615,0.0
367946,-5.337455897072789,-6.678133979996367,-6.689023042740466,-1.177625112814377,0.0
368036,-7.613950499977116,-8.785202289513405,-8.772643985364983,-5.116061853785183,1.0
368047,-20.382717875618646,-20.321192845933595,-20.486216579899253,-20.783194584894627,6.0
368190,-7.613950499977116,-8.777143674807684,-8.833242272010533,-5.058812378900626,1.0
368370,-5.337455897072789,-6.678133979996367,-6.689023042740466,-0.266477538213968,0.0
368376,-5.337455897072789,-6.678133979996367,-6.689023042740466,-5.12593126941615,0.0
368394,-18.51168838082248,-18.926644229999503,-18.753727874077004,-20.454849556457365,5.0
368471,-5.337455897072789,-6.678133979996367,-6.689023042740466,-1.4813409710145136,0.0
368563,-7.613950499977116,-8.675695836001903,-8.753007878105251,-5.096425746525451,1.0
368599,-5.337455897072789,-6.678133979996367,-6.689023042740466,-1.177625112814377,0.0
368602,-17.41307609215437,-17.555842284372197,-17.492282614052236,-17.27587512329272,5.0
368702,-40.41252465817104,-38.838222261768415,-38.64650819806844,-36.40394078857875,13.0
368816,-12.166939705785772,-12.735298248231667,-12.752904722923267,-11.811991246941158,3.0
369012,-27.212201684331628,-26.412818328544436,-26.595971767970305,-27.02979030057821,9.0
369013,-7.613950499977116,-8.794052775377377,-8.779799625829455,-5.117472429955578,1.0
369034,-7.613950499977116,-8.776587973835383,-8.76233482428746,-9.244452556126834,1.0
369068,-7.613950499977116,-8.794052775377377,-8.779799625829455,-6.099856817818513,1.0
369092,-9.890445102881444,-10.833828963545553,-10.796128447105106,-10.407713840870796,2.0
369241,-61.98485686854756,-58.561749482920185,-58.907358985312925,-49.63756996146466,21.0
369243,-25.825907323211737,-25.212234144111097,-25.45314308723418,-25.236306343327794,9.0
369473,-35.37480031868611,-34.94688893696805,-34.80632882440695,-34.10131004917777,10.0
369612,-50.39397180714224,-48.117631393258094,-48.48411867398846,-42.950646786886644,17.0
369757,-130.96408169085805,-122.83919886492826,-123.40857403743188,-122.07099602671086,42.0
369827,-34.681653138126165,-33.88521549784575,-33.47838644845026,-35.6228426887257,10.0
369869,-39.704645973180554,-38.16910405078345,-38.15116667881644,-36.70661492860588,12.0
369893,-7.613950499977116,-8.737031403234766,-8.701779399359484,-4.927349506249577,1.0
370118,-5.337455897072789,-6.678133979996367,-6.689023042740466,-3.607351978415468,0.0
370207,-14.4434343086901,-14.91290940612989,-14.853521989725788,-14.222196344785575,4.0
370208,-12.166939705785772,-12.940764127262346,-12.888018855203175,-11.779442005119444,3.0
370212,-35.833444962272665,-34.51335633452403,-34.507665591516655,-33.743147010320875,12.0
370255,-7.613950499977116,-8.675778536531334,-8.640526532656052,-5.057577898311472,1.0
370265,-5.337455897072789,-6.678133979996367,-6.689023042740466,-1.1833595781272106,0.0
370331,-10.583592283441389,-11.507023017036783,-11.487822568543429,-9.743201915198505,2.0
370498,-9.890445102881444,-10.666166417589391,-10.67612394817286,-8.701625254676115,2.0
370507,-5.337455897072789,-6.678133979996367,-6.689023042740466,-2.6962044038150594,0.0
370662,-9.890445102881444,-10.89350069918892,-10.874300250695565,-9.027616889973139,2.0
370878,-5.337455897072789,-6.678133979996367,-6.689023042740466,-1.2433881195904253,0.0
370932,-71.40021847139741,-67.54054738299497,-67.35881648274051,-56.99175627747992,22.0
371033,-15.927263630010108,-16.120919650776212,-16.05047879203825,-15.6416237519058,4.0
371043,-29.409426261667846,-28.551549846383605,-28.65318599223372,-32.18102230963881,9.0
371070,-5.337455897072789,-6.678133979996367,-6.689023042740466,-2.088772687414786,0.0
371123,-17.41307609215437,-17.360247331938233,-17.389733108095907,-17.857766159860113,5.0
371164,-61.68036290478826,-58.54687272759775,-58.16956700822744,-51.98967599986091,19.0
371173,-31.765190890140282,-30.625811575495742,-30.895240010657137,-29.74571873380159,11.0
371193,-24.9357070814273,-24.622911310146662,-24.528293870850447,-26.38657362093573,8.0
371202,-22.65921247852297,-22.572041606024676,-22.679889999856126,-24.78766480963208,7.0
371267,-23.54941272030741,-23.031616205607452,-23.031853137086607,-29.88433180099839,8.0
371326,-5.337455897072789,-6.678133979996367,-6.689023042740466,-1.7850568292146498,0.0
371341,-5.337455897072789,-6.678133979996367,-6.689023042740466,-2.6962044038150594,0.0
371539,-19.6895706950587,-19.83419458269411,-19.706913578177605,-19.740755473124235,6.0
371573,-5.337455897072789,-6.678133979996367,-6.689023042740466,-1.7850568292146498,0.0
371771,-25.628854261987243,-25.379252107296438,-25.484570273850352,-39.06372074549648,8.0
371825,-5.337455897072789,-6.678133979996367,-6.689023042740466,-1.177625112814377,0.0
371839,-60.01077584252555,-56.52468418788685,-56.112654650885055,-46.918376206392345,21.0
371905,-26.06040986018513,-25.851568204431832,-25.78271458798549,-26.082712094310615,7.0
371951,-26.727466550655354,-26.08632351352661,-26.10675535835236,-45.46767508826434,8.0
372088,-42.87134081786932,-40.75904984076699,-40.83927239185034,-38.52646864741975,14.0
372112,-23.75782476719108,-23.835634930205167,-23.680625963578404,-24.659272489526675,7.0
372115,-23.75782476719108,-23.452508046788353,-23.667725235700722,-23.669950331437853,7.0
372134,-5.337455897072789,-6.678133979996367,-6.689023042740466,-1.177625112814377,0.0
372219,-9.890445102881444,-10.825900428742514,-10.858551659052841,-8.61828471050599,2.0
372328,-34.73483267360456,-33.50413402384591,-33.343172952209365,-33.39552086447155,12.0
372437,-22.65921247852297,-22.49316064535438,-22.68024213695446,-28.527830234827377,7.0
372503,-21.27291811740308,-21.00319532774014,-20.96532730759525,-25.460838187007774,7.0
