user_id,ll_personalized_poisson,ll_experimental_1_hawkes,test_purchases,ll_user_scale_hawkes
647332,-12.500961528884163,-12.461890455133377,3.0,-12.459404723688897
647550,-25.034654753486656,-24.34944998921121,7.0,-24.277718984711132
647552,-19.058038720055716,-19.44303311254212,5.0,-19.38676168879931
647558,-1.177625112814377,-1.098327993167248,0.0,-0.9405823461071308
647879,-123.83503153596249,-108.81947387084166,51.0,-116.0859720503563
647887,-15.318839365391028,-15.442618995008008,4.0,-15.945184444306726
648160,-4.9791700905721905,-6.087464067391347,1.0,-10.116371498137008
648192,-2.9999202620151957,-2.527346429463027,0.0,-2.719733496688646
648211,-7.859373993217377,-6.907552812502832,0.0,-6.846878001382547
648376,-10.053455986789528,-9.067595260980209,1.0,-9.127999630544554
648471,-4.927231030884438,-5.017425744380079,1.0,-5.043226717680978
648578,-9.194476137646792,-9.03792449742386,2.0,-9.02152222257904
648587,-22.038435563201,-21.411409481333443,7.0,-21.49525768312317
648591,-16.692754194159434,-12.97618879014088,3.0,-13.829655603607073
648624,-22.07329632287335,-21.61933496588665,7.0,-21.68281643987241
648715,-21.626839095004264,-21.59113377366664,7.0,-21.633373734271967
648837,-12.498442439182329,-12.501675843851242,3.0,-12.342367732418277
648910,-23.78963578015276,-23.60563220553184,7.0,-23.771531255815557
648976,-5.7191464847894915,-5.878794313219935,1.0,-5.7047987394183535
649082,-17.985808705894705,-17.608649185443987,4.0,-16.926523323656134
649090,-2.4490584612315653,-2.058614170155003,0.0,-1.76278065424769
649173,-11.077260043300187,-10.67427664174537,2.0,-10.822660105397087
649233,-38.738682901854816,-38.26117227036953,17.0,-38.39001950144087
649311,-5.488737585655845,-5.400226091911,1.0,-5.221824939413575
649341,-21.058025084839077,-21.117589547267773,5.0,-22.81624735170906
649389,-13.182365154492429,-13.567998031288928,3.0,-14.244246299227196
649490,-5.915628539053188,-5.9010919187807955,1.0,-6.071539631626536
649602,-5.678139008748259,-5.715731550613307,1.0,-5.3299266940262315
649701,-14.605415498437829,-14.14125289336539,4.0,-14.234216269080646
649734,-2.088772687414786,-1.9220691050349183,0.0,-1.902416861390945
649947,-10.598345170232882,-10.04483351762422,2.0,-10.751724517052912
649967,-2.3924885456149223,-2.2016694835106803,0.0,-2.1974084585620126
650005,-1.7850568292146498,-1.5868951658915802,0.0,-1.546069865888222
650019,-30.977920780432484,-32.1145108740506,9.0,-32.60795389180308
650153,-4.936119141656627,-4.998328859187022,1.0,-5.259846385466655
650154,-8.619223242920851,-8.728106396177218,2.0,-8.946238042724037
650221,-5.0244584784860375,-5.161933692111112,1.0,-5.113499484984107
650257,-17.092445534889542,-16.549072817177002,4.0,-16.64644666416155
650291,-1.177625112814377,-1.011365173211589,0.0,-0.8797404434019187
650322,-23.70758859635711,-24.051820988589004,7.0,-24.770529984070414
650481,-16.44053246707395,-15.92080566175662,4.0,-16.07300243200737
650939,-22.303608159705224,-23.272946235868808,6.0,-23.305269215231025
651119,-2.3924885456149223,-2.0161671343263103,0.0,-2.0000779359550105
651131,-9.94553272171698,-9.599486622516954,2.0,-9.93162201236881
651174,-2.088772687414786,-2.497515386055876,0.0,-1.9965854564732293
651285,-78.23734416364512,-77.39213182680876,37.0,-77.33850222471784
651323,-5.887080666323087,-6.338687310390929,1.0,-6.265348943112722
651434,-0.266477538213968,-0.2515310620046632,0.0,-0.0316130018306909
651444,-23.82061831207983,-22.96345166575612,7.0,-23.30702130779331
651456,-36.70267594778212,-33.835734975723575,12.0,-33.904168001800876
651689,-32.71960792833586,-33.4132262557724,11.0,-33.84407861149154
651754,-11.572431190195026,-11.848353754461428,3.0,-11.860031522732465
651787,-9.263367577024596,-9.529532526003525,2.0,-9.543002871062058
651819,-17.278214867282106,-17.28481280149918,5.0,-17.816105059949706
651975,-4.994434104298297,-4.960693002481553,1.0,-4.934014350062707
652062,-11.62529413154424,-10.678680954516825,3.0,-10.570331392306182
652067,-43.43552951945688,-43.98522447263414,16.0,-43.66875931493055
652084,-5.343774500854974,-5.140774286631354,1.0,-5.11271818138456
652088,-5.049593214104749,-5.049104586525265,1.0,-4.97465379745916
652219,-2.3924885456149223,-2.183567042376502,0.0,-1.6569539549500722
652530,-36.82795182641243,-37.48512508228542,12.0,-37.45117700998457
652564,-1.549904355232325,-1.4034203875112357,0.0,-0.99250542777062
652626,-2.3924885456149223,-2.0236436049881923,0.0,-1.4006638516456569
652701,-21.19357810759483,-20.60607899090259,5.0,-21.167282068169747
