event_date,to_ord,personalized_poisson_prediction,global_scaled_hawkes_prediction,user_scaled_hawkes_prediction,hawkes_excitation,split
2025-02-25,0.10868871636711688,0.09909471691137832,0.09887004819390521,0.09830340255249068,0.017986855730029012,train
2025-02-26,0.11155971100722482,0.10089851041945443,0.10085899792912004,0.10027745776397805,0.01850351126000091,train
2025-02-27,0.10135852260666525,0.1043893801468799,0.10401728223115896,0.1034154087219691,0.01881247425783564,train
2025-02-28,0.09525830062586188,0.09505636882754098,0.09646440689749049,0.0959157284115038,0.01887739908887956,train
2025-03-01,0.10572640509013785,0.09717048067967063,0.09779184907571933,0.0972289798595673,0.018479258701703954,train
2025-03-02,0.11616322204557498,0.1059725326628394,0.10527812699744844,0.1046639146367445,0.01878111663797229,train
2025-03-03,0.10795635130840131,0.10463936419902323,0.10491849699550404,0.10431067019573625,0.01950964678024677,train
2025-03-04,0.10660597078128309,0.11042143877324612,0.10981291348747645,0.10916713068812565,0.019684612375098186,train
2025-03-05,0.10397715252803047,0.1091403134595403,0.10876651780442752,0.10812453921036168,0.019683898122387085,train
2025-03-06,0.09776979177676778,0.10910794541534223,0.1086371429356903,0.10799162831470943,0.019580942732206848,train
2025-03-07,0.08661666842716806,0.09904944497791403,0.10004374400464547,0.09945673298119324,0.019197503445186934,train
2025-03-08,0.07771090697919966,0.09994306878425611,0.09965189261402282,0.09905446993224869,0.018076257505879025,train
2025-03-09,0.10380841860955797,0.10523335411788258,0.10289564033726556,0.1022636114970584,0.01700196305527707,train
2025-03-10,0.11125171359274491,0.09859873081195834,0.09861207693055009,0.09801664077768633,0.018133718754405594,train
2025-03-11,0.09109119662625198,0.1015001780997833,0.10146096818642453,0.10084892576624356,0.018614387700156138,train
2025-03-12,0.1000842815002107,0.09833305099096865,0.09872032346460267,0.09812650785499853,0.018458818747095086,train
2025-03-13,0.10002105706464519,0.09871528043407335,0.09904458695471084,0.09844574250905516,0.018471098525300166,train
