user_id,user_scale,train_days
19325,0.8093716157600284,207
19532,0.8600717829540372,207
19687,0.7642957335337996,207
19734,0.7530321180820465,207
19792,0.7216749852523208,207
19814,0.7240599533542991,207
19905,0.6512149004265666,207
20014,0.4049384454265237,200
20026,0.6841016607359052,207
20107,0.8493611169978976,204
20293,0.8696195250377059,207
20416,0.9088215557858348,207
20426,0.4616580484434962,92
20473,0.9337360179051757,207
20569,0.7285976363345981,207
20598,0.8426865516230464,207
20768,0.994997345842421,207
20776,0.8783671865239739,207
20888,0.8189583150669932,207
20971,0.7467618538066745,207
20981,0.7239385508000851,206
21033,0.8543997770175338,207
21056,0.0,197
21277,0.4261542484164238,207
21339,0.5017425585538149,207
21403,0.41681934148073196,201
21455,0.8975069178268313,207
21600,0.8491638628765941,207
21659,0.798263899050653,207
21720,0.6496666604653001,207
21817,0.9426263859495521,201
21867,0.7592221768572927,207
22023,0.8198128780350089,207
22033,0.7915564859285951,207
22044,0.794393653050065,207
22072,0.9096570871770382,207
22188,0.8739962754771113,207
22226,0.8337605418637395,207
22235,0.8879843447357416,207
22348,0.5550917983055115,207
22349,0.6392695661634207,184
22385,0.6973147997632623,100
22399,0.6632229778915644,207
22697,0.8009161753579974,207
23053,0.0,5
23067,0.8033413859084249,207
23134,0.8694311371073127,207
23250,0.7861759467050433,207
23558,0.11009081732481718,182
23666,0.59432044159621,207
23704,0.7539339503273368,207
23867,0.7210866408422589,207
23932,0.7970996899530292,207
24045,0.25159295182675123,207
24092,0.9485179418697953,207
24289,0.0,207
24426,0.4687988618388772,207
24606,0.6082264380529523,172
24644,0.8608256233856082,207
24828,0.8191662980243564,207
24912,0.7995792012661695,207
25090,0.8355285692960024,207
25122,0.8753892360255122,207
25132,0.8628280973061919,165
25194,0.9108980325981975,207
25332,0.8750488655641675,164
25346,0.22121920716017485,207
25404,0.8555581886321306,207
25562,0.7943128421902657,207
25637,0.7637691637501121,207
25672,0.31132498290389776,207
25724,0.0,57
25772,0.8651222521439195,207
25964,0.8867287682369351,207
26063,0.0,178
26084,0.6368783907964826,203
26101,0.7087179599329829,207
26104,0.7982462598010898,207
26107,0.5933263013139367,207
26211,0.7810474326834083,207
26367,0.7909414963796735,207
26522,0.6178330350667238,183
26692,0.44445930048823357,207
26704,0.722785028629005,207
26871,0.7373264199122787,207
26961,0.5505873588845134,207
27213,0.5195183400064707,207
27256,0.8162210356401853,0
27326,0.6348805176094174,146
27377,0.9254636568948627,207
27379,0.8210552996024489,207
27597,0.7192612951621413,207
27699,0.7021486479789019,207
27749,0.8611275861039758,207
27780,0.9381189057603478,207
27859,0.8394291484728456,207
28113,0.8739603357389569,138
28150,0.8524908032268286,207
28171,0.7899894146248698,207
28196,0.7505635917186737,194
28272,0.6599935377016664,207
28335,0.7458323379978538,207
28375,0.890771416015923,189
28432,0.516139199025929,207
28436,0.8304529869928956,207
28489,0.5376841081306338,207
28523,0.8186189597472548,207
28525,0.7909731520339847,207
28572,0.7970263389870524,207
28582,0.5342010641470551,207
28653,0.8341847499832511,207
28700,0.7982521364465356,157
28830,0.8413346158340573,185
28876,0.8361936314031482,207
28991,0.22578260395675898,207
29136,0.8978252438828349,207
29244,0.7493688771501184,207
29253,0.5276986071839929,207
29410,0.8446672139689326,207
29468,0.8884148625656962,181
29642,0.8830897929146886,207
29769,0.0,207
29896,0.6530997576192021,207
29989,0.7656959118321538,200
30072,0.8143695490434766,207
30128,0.8146849786862731,207
30244,0.5402599414810538,33
30370,0.7694057142361999,185
30375,0.5002622632309794,101
30399,0.7238089991733432,207
30427,0.6165239727124572,204
30586,0.7896115863695741,207
30612,0.5805397173389792,207
30945,0.7235004706308246,154
30954,0.0,207
31047,0.842117378488183,207
31090,0.8506213454529643,207
31207,0.5971948197111487,207
31683,0.8378547569736838,207
31877,0.783358714543283,126
31890,0.8352082455530763,207
31904,0.8229212509468198,207
31909,0.46012361999601126,200
32022,0.7764547783881426,207
32091,0.8364894380792975,207
32113,0.5977764306589961,207
32224,0.8239843370392919,207
32226,0.8128696074709296,207
32235,0.5816194275394082,207
32275,0.8519514603540301,207
32319,0.7240301091223955,207
32378,0.8460952481254935,207
32517,0.6328355008736253,207
32559,0.9047601977363229,207
32644,0.5915093421936035,203
32765,0.9666627598926425,188
32839,0.8320539956912398,37
32923,0.801823572255671,207
32957,0.7691531023010612,207
33030,0.5993709247559309,207
33266,0.8835563017055392,207
33285,0.8481394173577428,207
33680,0.9124277578666806,202
33688,0.7249736366793513,206
33695,0.785770402289927,207
33787,0.6365461926907301,207
33973,0.7953707873821259,192
34067,0.8941920893266797,207
34148,0.9340974921360612,207
34231,0.6020139809697866,207
34238,0.8866449585184455,207
34322,0.8436009520664811,207
34440,0.6989549566060305,168
34481,0.5998281855136156,207
34585,0.8226893609389663,207
34689,0.8607585309073329,207
34905,0.545945237390697,207
34911,0.7636906579136848,207
34962,0.8623764477670193,207
34976,0.0,207
34979,0.35592738073319197,207
35050,0.8892448944970965,96
35066,0.6449550343677402,207
35120,0.7338684098795056,207
35135,0.909392605535686,207
35142,0.796083421446383,207
35153,0.7550830906257033,207
35162,0.8396273432299495,207
35342,0.8278105035424232,39
35356,0.5928579205647111,207
35374,0.8427478140220046,207
35419,0.8527977811172605,207
35425,0.6953177833929658,207
35441,0.0,207
35660,0.6758699798956513,203
35733,0.8615207904949784,207
35804,0.6460490450263023,205
36019,0.5808199103921652,202
36199,0.7550730695948005,207
36229,0.6547085987403989,207
36534,0.808924469165504,207
36554,0.700998050160706,173
36588,0.6414838740602136,207
