user_id,ll_personalized_poisson,ll_global_scaled_hawkes,ll_user_scale_hawkes,test_purchases
322872,-9.334497488399492,-8.462453080103579,-8.785955095986127,1.0
322914,-9.02980328501392,-9.058625451393317,-9.230331261843013,2.0
322975,-5.424504926235088,-5.372872346034442,-5.417155073968259,1.0
323039,-4.901205981178988,-4.688190517997494,-4.694314622292085,1.0
323046,-23.64029354573341,-22.906079651452238,-24.007662525430156,6.0
323229,-4.866926274853825,-5.011406348335615,-5.063446325561317,1.0
323243,-48.82037519452962,-49.239548236927256,-49.47786387425757,16.0
323517,-22.82301618311337,-22.53704591666489,-22.566891300446922,8.0
323614,-2.9999202620151957,-2.819573315003428,-2.897026471650856,0.0
323619,-60.26225132555384,-60.642098507636604,-60.64388952212565,27.0
323712,-9.003840585278143,-8.706780106984644,-8.818688354764122,2.0
323750,-9.202931558386283,-9.717371084873639,-9.88075091933763,2.0
323951,-16.68621159717443,-12.927550099016836,-13.62547440023295,4.0
324178,-44.67520800922171,-45.74704783071981,-46.26084475925948,17.0
324311,-18.4783916999042,-18.039627287713365,-18.039627287713365,5.0
324377,-2.3924885456149223,-2.0983553489358866,-1.8645940833698478,0.0
324384,-7.002095063064751,-6.851687898931241,-6.974585418875286,1.0
324461,-34.085041007259576,-33.02096698644378,-33.87904479581783,10.0
324529,-33.59577451297143,-33.82958584330951,-33.85546580365893,13.0
324594,-19.475121730223222,-18.730891859606814,-24.507457892792875,5.0
324628,-2.9999202620151957,-2.567382626119574,-2.2551437182512575,0.0
324645,-3.303636120215332,-2.8580893691437455,-2.6985811613357127,0.0
324658,-31.390973442003535,-30.031905464601024,-30.302467618600637,8.0
324662,-37.21750379906642,-36.95097254328799,-36.57752387960432,13.0
324722,-4.975325300766078,-5.096813349571465,-5.097774531043118,1.0
324728,-5.140991194463363,-5.601302157698156,-5.519197996708728,1.0
324738,-2.3924885456149223,-2.0188809480475984,-1.5037873356087634,0.0
324806,-1.7850568292146498,-1.527716441759261,-1.3728836002034037,0.0
324843,-27.463783183282807,-27.63910596215318,-27.666559795163895,10.0
324920,-15.992247880703362,-13.945899172611442,-16.012924992830836,3.0
325495,-75.05296184992915,-75.41261227766786,-74.932957905693,41.0
325507,-26.89615554040138,-26.331509283986442,-28.445688333427725,7.0
325584,-3.911067836615605,-3.28171199856814,-2.374312187005226,0.0
325614,-13.472857567522293,-11.803819616533943,-13.251205981287402,1.0
325683,-1.3074173178236304,-1.1933486607043216,-0.9645406584540085,0.0
325704,-15.999186635777681,-15.416470446471164,-15.192040893934742,4.0
325740,-12.340659881273838,-12.837531620048244,-12.923643762994251,3.0
325908,-9.284966929603348,-8.480193796080112,-8.70147399069806,1.0
325928,-14.709490876453515,-14.139635851447114,-14.380901025016907,3.0
325998,-2.9999202620151957,-2.6627924633740574,-2.8522825499114197,0.0
326070,-28.136202110250604,-28.239879958410544,-29.930469750226475,10.0
326178,-8.690942699331124,-8.413820240108496,-8.566226999933104,2.0
326316,-18.805767111863275,-19.084712981297884,-19.124358581627877,5.0
326414,-14.963259309851995,-15.067137137556847,-15.204857621031701,4.0
326431,-0.5206297925694618,-0.48418536848394395,-0.0592363800080629,0.0
326726,-8.725913855569425,-7.8783879271656945,-8.050243475972671,1.0
326795,-73.57097082653256,-65.18378165232285,-65.10228060321185,21.0
326815,-5.040734935876955,-5.2338327777227205,-5.252604430160804,1.0
327002,-1.5761979168245335,-1.4279030632380114,-1.1444600211997062,0.0
