user_id,ll_personalized_poisson,ll_experimental_1_2_hawkes_hl1,test_purchases
12174,-47.207376428659316,-46.40991342205605,16.0
12187,-9.541341617596581,-9.488309916817991,2.0
12192,-1.4813409710145136,-2.1629452125276094,0.0
12396,-36.76212388949158,-37.24206221473979,14.0
12435,-23.29852164823383,-21.885395782420854,6.0
12467,-27.78166364900443,-26.469028655952044,6.0
12492,-61.926569415446814,-56.01914632264427,18.0
12505,-0.8328237676963033,-0.7865603529668552,0.0
12519,-60.73480453336989,-61.0579710736121,23.0
12547,-18.904618117636648,-18.886885936850632,6.0
12905,-10.707244630562826,-11.047240493214254,2.0
13012,-25.786507619656486,-23.887848484917917,7.0
13187,-66.18340134135717,-65.93538782630334,29.0
13403,-53.031037777193845,-52.80490797990424,22.0
13435,-14.97354729927397,-14.946186639862914,4.0
13442,-5.186417438041745,-5.410537883306983,1.0
13495,-8.477461826801866,-8.600223310339933,2.0
13629,-37.37331804402129,-37.20720659559217,14.0
13731,-16.449016013350224,-16.352402137427312,4.0
13742,-3.911067836615605,-3.37155223238535,0.0
13915,-13.90156607132117,-13.434899436213623,3.0
13985,-18.720601625349705,-18.013528174624952,5.0
14049,-9.175106408256267,-9.373861769606709,2.0
14075,-2.415779715926769,-2.1258376067659883,0.0
14098,-5.555266454612907,-4.235844064806283,1.0
14166,-41.73039452549757,-41.358876080923636,15.0
14184,-8.511342217249677,-8.695903337425198,2.0
14240,-12.538289328102449,-12.702106793591984,3.0
14263,-15.552168370202752,-15.432125854295277,4.0
14471,-30.530379156932774,-30.024268947894164,10.0
14586,-1.177625112814377,-1.2950718203800966,0.0
14661,-5.174189674147462,-5.419152460219592,1.0
14786,-5.113980721041136,-3.6923840487526816,1.0
14792,-25.14731232516505,-23.486088101476618,8.0
14816,-25.583737417921366,-23.48000472240364,7.0
14823,-22.65930637251522,-22.171662107790564,7.0
14910,-56.368509842921384,-57.04430076957524,11.0
14916,-38.89686895681565,-38.30461484304964,13.0
14937,-5.056976328720807,-5.094492675104175,1.0
15111,-27.11197517732222,-26.0755988158708,8.0
15197,-11.84122529430802,-11.760746152019102,3.0
15360,-14.251328793596155,-15.029568206920716,4.0
15370,-54.52164132582717,-55.711465857974105,22.0
15391,-5.530732784215204,-5.899770527061208,1.0
15508,-32.859894355605036,-24.75291162450063,6.0
15517,-34.11608048304262,-32.33588995512833,8.0
15553,-11.907047276765267,-11.813384614251637,3.0
15580,-29.34554254944216,-28.85639548028004,11.0
15613,-9.721968357886805,-9.739656211038723,2.0
15625,-74.69861385810773,-72.80536215432176,31.0
15662,-12.431380621022631,-11.920202148713342,2.0
15671,-14.436898023357028,-13.810144729837761,3.0
15803,-30.98932453436487,-31.229975635004774,11.0
15954,-58.12537937465761,-57.109141925856306,22.0
16051,-59.43916712456497,-61.324384399551775,25.0
16082,-1.4813409710145136,-1.324381987812771,0.0
16306,-0.8863616841608835,-0.8347649356211507,0.0
16355,-5.133080292239298,-4.81296574069836,1.0
16360,-2.9999202620151957,-2.7910685131041078,0.0
16387,-8.775466025940224,-8.416876734766172,1.0
16483,-6.978902668331797,-6.65124595340399,1.0
16492,-10.11552719617462,-10.525304586813593,2.0
16612,-11.579178197462957,-11.430579861518034,3.0
16907,-10.16899842201474,-10.612979635871627,2.0
16982,-5.372125809819854,-5.400625606697626,1.0
17104,-12.709337410008105,-11.865347551162023,3.0
17189,-23.650230479961596,-22.51551715126886,4.0
17225,-5.0042138182440565,-4.650095950801686,1.0
17237,-99.7374829355563,-102.69758961137767,39.0
17415,-12.844174445926582,-12.62581448615735,3.0
17601,-12.53740789796954,-12.06434227255126,3.0
17775,-12.393591135488546,-11.522841366417387,3.0
