user_id,ll_personalized_poisson,ll_e1,test_purchases,ll_e12
649490,-5.915628539053188,-5.916279815477066,1.0,-5.883265033996469
649602,-5.678139008748259,-5.703565632899394,1.0,-5.735608543273081
649701,-14.605415498437829,-14.161490645740203,4.0,-14.174750165904612
649734,-2.088772687414786,-1.9134351142016752,0.0,-1.956842133736534
649947,-10.598345170232882,-10.02585161575226,2.0,-10.14604430792744
649967,-2.3924885456149223,-2.1918439412056916,0.0,-2.263070273693904
650005,-1.7850568292146498,-1.5736829168613828,0.0,-1.6460720899326662
650019,-30.977920780432484,-32.07668750558092,9.0,-32.033200037663505
650153,-4.936119141656627,-4.998115424051973,1.0,-4.976009963914699
650154,-8.619223242920851,-8.742657042666306,2.0,-8.809536545041308
650221,-5.0244584784860375,-5.16485202089895,1.0,-5.144671192150377
650257,-17.092445534889542,-16.55643476753,4.0,-16.334715327258728
650291,-1.177625112814377,-1.0049776422184489,0.0,-1.049268538000399
650322,-23.70758859635711,-24.05874545076421,7.0,-24.20343897214931
650481,-16.44053246707395,-15.942793854759897,4.0,-16.145657724038692
650939,-22.303608159705224,-23.283057948616,6.0,-23.167387082389695
651119,-2.3924885456149223,-2.007512523940297,0.0,-2.08328018075829
651131,-9.94553272171698,-9.581436158958844,2.0,-9.64889953586392
651174,-2.088772687414786,-2.4895589972910654,0.0,-2.5789823860796464
651285,-78.23734416364512,-77.3702570053583,37.0,-77.33716233735348
651323,-5.887080666323087,-6.32720497730953,1.0,-6.399318136739277
651434,-0.266477538213968,-0.2496162396161085,0.0,-0.2606364826631879
651444,-23.82061831207983,-22.94180223289896,7.0,-23.09939150947149
651456,-36.70267594778212,-33.86339650596669,12.0,-33.60415896440524
651689,-32.71960792833586,-33.40499931828136,11.0,-33.61146793189862
651754,-11.572431190195026,-11.839610688037611,3.0,-11.718589639394478
651787,-9.263367577024596,-9.536034987063095,2.0,-9.469228442182844
651819,-17.278214867282106,-17.29748038052038,5.0,-17.115449305807005
651975,-4.994434104298297,-4.965155494173037,1.0,-4.933346443607165
652062,-11.62529413154424,-10.691644978351462,3.0,-10.761169358548166
652067,-43.43552951945688,-43.979804046891296,16.0,-43.84567553833156
652084,-5.343774500854974,-5.138334073761181,1.0,-5.174546069661548
652088,-5.049593214104749,-5.048283397782633,1.0,-5.03270140535415
652219,-2.3924885456149223,-2.167623714309019,0.0,-2.264742221115957
652530,-36.82795182641243,-37.459167345354096,12.0,-37.48008222121026
652564,-1.549904355232325,-1.3922688593767607,0.0,-1.455504115214013
652626,-2.3924885456149223,-2.0052839149478827,0.0,-2.10111716612928
652701,-21.19357810759483,-20.590201122209617,5.0,-20.6683258505821
652806,-22.784707467525458,-22.118542645396747,6.0,-22.230265262535543
652937,-9.470560116916856,-9.22660435188063,2.0,-9.310476618169908
652957,-1.177625112814377,-1.1190922502485992,0.0,-1.1577640139015692
653148,-2.9999202620151957,-2.5328871016075976,0.0,-2.6529280370656196
653223,-18.933346065327623,-17.175757188937048,4.0,-16.990539379356964
653336,-8.467903386953616,-8.707599022927159,2.0,-8.691358180055568
653437,-1.177625112814377,-1.0144609433309286,0.0,-1.062059440104353
653496,-22.871989671346924,-23.443570031420663,7.0,-23.233327945756724
653512,-38.73154394149628,-38.869279670244794,14.0,-38.75872215315893
653545,-21.04489962657312,-21.65971200569723,6.0,-21.833170207214152
653593,-1.4813409710145136,-1.353511962647316,0.0,-1.4115539879306889
653665,-12.716445580371426,-12.562418507810904,3.0,-12.637017514428418
653692,-2.088772687414786,-2.2007489690816957,0.0,-2.2920157280935447
653750,-9.914268259948868,-10.194689377920293,2.0,-10.20439404348028
653767,-1.4813409710145136,-1.2164686013882853,0.0,-1.27129329540243
653787,-14.948665257102547,-14.287521053719058,4.0,-14.095170899921614
653910,-26.504779109407806,-25.369501701671368,8.0,-25.507086816601586
654054,-35.659018922762534,-35.132960149534235,12.0,-34.85082395508554
654058,-2.3924885456149223,-2.101435886923132,0.0,-2.1970218337191336
654153,-4.518499553015877,-3.85053626087702,0.0,-4.027813936425025
654497,-40.38060200895116,-40.72259978787701,18.0,-40.6552071107061
654689,-27.2200418064403,-26.6396283496558,9.0,-26.604028040748688
654747,-39.142583489317374,-34.29194517915147,7.0,-36.59706277891398
654774,-1.177625112814377,-1.0513976386145,0.0,-1.0483126667199727
654777,-20.16573621573736,-19.03494907767987,5.0,-19.07426209740427
654789,-16.755777472032715,-17.43172534623717,4.0,-17.386499703633547
654793,-30.30674952494074,-30.43214231520527,11.0,-30.41251047398558
655003,-9.1532001332272,-9.183357427836832,2.0,-9.096003689275692
655407,-12.066249686693034,-11.792622640242747,3.0,-11.80055522858725
655477,-15.838987694620377,-15.646446606430148,4.0,-15.649535224219676
655695,-8.759780415820462,-9.14204152075586,2.0,-9.04819655741953
655708,-33.39952179814689,-32.84157391283494,11.0,-33.000314765748904
655782,-14.207247852246017,-13.468442879455022,3.0,-13.384860340090103
655806,-25.056103047995435,-25.103773628572853,8.0,-25.079306466668413
656001,-4.9585911348904,-5.812539598930772,1.0,-5.775762358817896
656090,-6.098601294665469,-5.941897129484946,1.0,-5.972530550929891
656115,-1.1321832202876931,-1.2737854655119971,0.0,-1.3236527514399137
