user_id,ll_pooled,ll_pers,test_purchases,delta_ll
18929,-2.0992490097055554,-4.2147836948157416,0.0,2.115534685110186
18945,-39.49065397551226,-41.20483326338436,12.0,1.7141792878720992
19029,-23.793264391246964,-29.047306673680204,7.0,5.25404228243324
19200,-34.92137810622956,-31.874611055807897,11.0,-3.046767050421664
19260,-6.925054690647795,-5.010196454677137,1.0,-1.9148582359706579
19277,-16.705517894059493,-14.994362296504672,4.0,-1.7111555975548214
19293,-32.2134970768543,-30.641397287664116,12.0,-1.5720997891901867
19325,-226.466549797529,-335.1331673509709,108.0,108.66661755344188
19532,-50.44447676203657,-46.27692502574474,16.0,-4.167551736291834
19687,-15.412152431589433,-17.806581982551872,5.0,2.394429550962439
19734,-10.987750993716233,-10.874869831347851,2.0,-0.11288116236838164
19792,-5.725143994418567,-4.929054647377197,1.0,-0.7960893470413701
19814,-20.818885576960156,-20.080868829221398,6.0,-0.738016747738758
19905,-7.475074796857801,-8.510386927810512,2.0,1.0353121309527102
20014,-9.603615171186052,-14.575432238263348,3.0,4.971817067077296
20026,-34.10768731571297,-28.396676535755905,7.0,-5.711010779957068
20107,-19.54821121089177,-23.894151080050406,6.0,4.345939869158638
20293,-32.022109951174244,-33.99682963594414,9.0,1.9747196847698945
20416,-12.956047473963977,-14.528400621468371,4.0,1.5723531475043941
20426,-26.456006165150406,-24.307795181591,7.0,-2.148210983559405
20473,-2.461008790371485,-5.4296471276162865,0.0,2.9686383372448018
20569,-2.978719599829631,-1.177625112814377,0.0,-1.801094487015254
20598,-136.70589588083638,-119.35471205888616,58.0,-17.351183821950215
20768,-2.452138843529621,-14.23740701542024,0.0,11.78526817189062
20776,-23.941713726086917,-20.336440831319642,6.0,-3.6052728947672747
20888,-10.977530407010216,-10.2002725185414,2.0,-0.7772578884688155
20971,-49.97917521587505,-44.51333041144796,16.0,-5.465844804427093
20981,-8.84128112864066,-9.031574941394886,2.0,0.19029381275422708
21033,-25.802384250197775,-25.011252369478825,8.0,-0.7911318807189502
21056,-2.0088541164878215,-0.2788113642509729,0.0,-1.7300427522368487
21277,-12.402605504589124,-12.36906266177575,3.0,-0.0335428428133735
21339,-65.38702774820626,-70.29391900085683,15.0,4.906891252650567
21403,-6.908487042072516,-5.083147690892124,1.0,-1.825339351180392
21455,-18.54982944393665,-18.762153206722832,5.0,0.21232376278618403
21600,-36.75072466106332,-31.844268389919037,12.0,-4.906456271144286
21659,-19.833181250278116,-19.065572322286076,6.0,-0.7676089279920397
21720,-26.88324780294367,-27.747425665060803,8.0,0.8641778621171312
21817,-6.106101150801964,-11.866117156610507,1.0,5.760016005808543
21867,-9.580264645077445,-8.967099111149569,2.0,-0.6131655339278765
22023,-43.70153964038748,-42.79495228380413,17.0,-0.9065873565833513
22033,-12.503115615459961,-11.550677573774461,3.0,-0.9524380416855003
22044,-2.414830652948545,-1.177625112814377,0.0,-1.2372055401341677
22072,-30.19789837670992,-28.14481149120515,9.0,-2.0530868855047686
22188,-66.92417598734968,-67.30964390976341,27.0,0.3854679224137243
22226,-59.28542800395729,-68.40878773211944,23.0,9.123359728162143
22235,-12.514701761664933,-15.151983915214347,3.0,2.637282153549414
22348,-2.802805766857821,-0.8739092546142408,0.0,-1.9288965122435802
22349,-10.119889970671892,-9.250781286910403,2.0,-0.869108683761489
22385,-13.976773899978104,-12.742395908073235,3.0,-1.2343779919048696
22399,-13.56712819092061,-13.12871510908697,3.0,-0.43841308183363914
22697,-10.681427371369383,-9.874721977067855,2.0,-0.8067053943015274
23053,-2.4736378249398436,-4.034846149808562,0.0,1.5612083248687183
23067,-5.752843157814864,-5.819708320088983,1.0,0.06686516227411943
23134,-3.888481674742195,-4.518499553015877,0.0,0.6300178782736818
23250,-7.197450494146086,-8.174543201224175,1.0,0.9770927070780893
23558,-22.57247460962277,-22.878146465581814,7.0,0.30567185595904434
23666,-6.113118411958065,-5.00590081011509,1.0,-1.107217601842975
23704,-31.997793190564806,-29.78571747064507,10.0,-2.212075719919735
23867,-40.212242450169036,-41.704358920806854,17.0,1.4921164706378178
23932,-8.679672555158854,-8.554771887628878,2.0,-0.12490066752997642
24045,-10.498180697864647,-8.68906572637555,2.0,-1.8091149714890982
24092,-35.29061586932514,-32.90185211739077,11.0,-2.38876375193437
24289,-3.7118739793325832,-1.4813409710145136,0.0,-2.2305330083180697
24426,-2.3597238183842677,-1.177625112814377,0.0,-1.1820987055698906
24606,-62.570779338958864,-90.5656407256333,21.0,27.994861386674437
24644,-29.83589933580372,-27.134577025170657,9.0,-2.7013223106330635
24828,-3.343663996165714,-8.46680570961765,0.0,5.123141713451936
24912,-17.09849555666667,-17.06295656254096,4.0,-0.03553899412570871
25090,-16.227394890182044,-15.048029177641169,4.0,-1.179365712540875
25122,-41.5927001333695,-40.14667050566923,17.0,-1.4460296277002698
25194,-19.788812724105245,-17.696946703162265,4.0,-2.0918660209429802
25332,-23.938808719997887,-23.53133050854907,8.0,-0.4074782114488187
25346,-5.638978456623511,-5.065435220786979,1.0,-0.5735432358365324
25404,-6.022243542099873,-5.829153032930517,1.0,-0.19309050916935622
25562,-10.288397530827163,-9.931221668363511,2.0,-0.3571758624636523
25637,-52.688179474026356,-49.289265900716806,22.0,-3.3989135733095495
25672,-24.593525111218025,-30.872639534500458,8.0,6.279114423282433
25724,-13.701916040888545,-13.99939979889455,3.0,0.2974837580060061
25772,-39.964721299457494,-41.75603213105647,18.0,1.7913108315989774
25964,-37.8171455648269,-38.81612258281329,15.0,0.998977017986391
26063,-17.15535809384604,-21.440548418309287,4.0,4.285190324463247
26084,-8.157314640763278,-7.996343321799372,1.0,-0.16097131896390682
26101,-16.29901371752051,-15.505869636174761,4.0,-0.7931440813457478
26104,-18.7845668848564,-20.53920848989662,6.0,1.75464160504022
26107,-6.022854217972179,-10.793864197338898,1.0,4.7710099793667196
26211,-16.726813722901998,-16.58102736849069,5.0,-0.14578635441130672
26367,-7.799166903689575,-9.760621311909375,1.0,1.9614544082198
26522,-25.885214613427337,-35.92932069937966,10.0,10.044106085952322
26692,-7.7553526469606195,-4.943277105418085,1.0,-2.8120755415425345
26704,-16.00047060348482,-15.15483569233692,4.0,-0.8456349111479007
26871,-37.920374470081576,-40.38452233209238,11.0,2.4641478620108046
26961,-30.791743419642025,-38.72286883063323,12.0,7.931125410991207
27213,-3.683754378101415,-1.7850568292146498,0.0,-1.8986975488867652
27256,-41.43734044749676,-38.232990702123026,12.0,-3.204349745373733
27326,-6.132353569117678,-6.907870484444855,1.0,0.7755169153271773
27377,-44.94092523436226,-42.38259702303528,16.0,-2.5583282113269803
27379,-21.366676092003004,-23.995883646080575,8.0,2.6292075540775706
27597,-23.53725321288661,-22.967297388370852,8.0,-0.569955824515759
27699,-30.094219663550852,-36.71616102647282,12.0,6.621941362921966
27749,-26.867753191703294,-26.32933338067087,9.0,-0.5384198110324228
27780,-49.21181721671543,-45.320528192722875,20.0,-3.891289023992556
27859,-9.328182752963441,-17.71828274852616,2.0,8.39009999556272
28113,-16.161764075850545,-15.223772693703994,4.0,-0.9379913821465511
28150,-11.583724732527848,-12.08029719528087,3.0,0.49657246275302214
28171,-10.886044669167706,-5.976579852559027,1.0,-4.909464816608679
28196,-7.126437015408604,-4.948185986688612,1.0,-2.178251028719992
