user_id,ll_pooled,test_purchases,ll_experimental_1_hawkes
15954,-64.96861307977503,22.0,-56.91085592233115
16051,-68.64935783532627,25.0,-61.15895490504702
16082,-2.159188912975085,0.0,-1.2755560028453818
16306,-2.295508798523431,0.0,-0.8050410765564245
16355,-6.879815708275033,1.0,-4.819725537765692
16360,-2.6765265304783807,0.0,-2.690012734857071
16387,-6.368109982587617,1.0,-8.292269178954083
16483,-5.95275398206905,1.0,-6.574466045722618
16492,-10.088043534045122,2.0,-10.649919058359048
16612,-11.737016652125824,3.0,-11.520002066009766
16907,-10.29625665710818,2.0,-10.72717666817518
16982,-6.04199035442059,1.0,-5.391681813226196
17104,-13.612498846737076,3.0,-12.015402850202246
17189,-18.270824328716476,4.0,-22.219154987179692
17225,-5.786247057131672,1.0,-4.6632672324769295
17237,-129.48194898843215,39.0,-103.2151300247181
17415,-12.629203388356713,3.0,-12.589260974018146
17601,-11.609829966724453,3.0,-12.104042799248782
17775,-12.576927099447037,3.0,-11.54449311880027
17838,-2.6370646756593064,0.0,-2.160332955149506
17863,-9.644025335918032,2.0,-8.667315948746568
17920,-12.913512409364186,2.0,-21.112938205862708
17932,-6.437349604435484,1.0,-7.508861381660259
17991,-22.5090194848164,7.0,-21.4723552267
18119,-51.49575212041564,13.0,-43.625343919743194
18187,-16.799527030394316,4.0,-15.513409560225012
18267,-11.319901989575095,2.0,-10.80867822320665
18268,-25.48174070713786,8.0,-24.93275745402298
18345,-19.96808920060253,5.0,-19.00829011606886
18402,-14.041775777396923,3.0,-12.722215737161482
18519,-14.215406844468628,3.0,-12.90189078628394
18566,-11.99846078874597,3.0,-11.89163652421996
18853,-54.09104234507539,18.0,-51.69156172118698
18929,-2.0992490097055554,0.0,-3.5068921201834424
18945,-39.49065397551226,12.0,-41.331043049491875
19029,-23.793264391246964,7.0,-27.623252920506644
19200,-34.92137810622956,11.0,-32.39654194164013
19260,-6.925054690647795,1.0,-5.03778971302206
19277,-16.705517894059493,4.0,-15.412335028193882
19293,-32.2134970768543,12.0,-30.6195834012262
19325,-226.466549797529,108.0,-273.9098678033807
19532,-50.44447676203657,16.0,-46.3483108608056
19687,-15.412152431589432,5.0,-16.669797208908566
19734,-10.987750993716231,2.0,-10.609404540568915
19792,-5.725143994418567,1.0,-5.0778921221287145
19814,-20.818885576960156,6.0,-20.60812376079336
19905,-7.475074796857801,2.0,-7.622145802562416
20014,-9.603615171186052,3.0,-12.998124782396424
20026,-34.10768731571297,7.0,-29.79167000810051
20107,-19.54821121089177,6.0,-22.299418707575224
20293,-32.022109951174244,9.0,-31.747658519428505
20416,-12.956047473963975,4.0,-13.963846952329272
20426,-26.45600616515041,7.0,-24.88621561115037
20473,-2.461008790371485,0.0,-4.623052167049461
20569,-2.978719599829631,0.0,-1.232697588993874
20598,-136.70589588083638,58.0,-121.17142641731682
20768,-2.452138843529621,0.0,-11.902957597786989
20776,-23.941713726086917,6.0,-21.02959325896788
20888,-10.977530407010216,2.0,-10.344066063564254
20971,-49.97917521587505,16.0,-45.319713788842
20981,-8.84128112864066,2.0,-8.883413334013664
21033,-25.802384250197775,8.0,-24.45429301222566
21056,-2.0088541164878215,0.0,-0.2303456911123479
21277,-12.402605504589124,3.0,-12.259749500946745
21339,-65.38702774820626,15.0,-70.04391546495019
21403,-6.908487042072516,1.0,-5.664972059314208
21455,-18.54982944393665,5.0,-18.55036494655993
21600,-36.75072466106332,12.0,-32.38652571423567
21659,-19.833181250278116,6.0,-19.05711076152699
21720,-26.88324780294367,8.0,-25.653639672859143
21817,-6.106101150801964,1.0,-10.528264023421784
21867,-9.580264645077444,2.0,-8.968033619731463
22023,-43.70153964038748,17.0,-42.52763648631354
22033,-12.50311561545996,3.0,-11.790816187368348
22044,-2.414830652948545,0.0,-1.1030759283323417
22072,-30.19789837670992,9.0,-28.033561894186327
22188,-66.92417598734968,27.0,-65.13824024503468
22226,-59.28542800395729,23.0,-64.37022580845054
22235,-12.514701761664933,3.0,-14.29126170915444
22348,-2.802805766857821,0.0,-0.9365976113462426
22349,-10.119889970671892,2.0,-9.543958885020228
22385,-13.976773899978104,3.0,-13.235443317019874
22399,-13.56712819092061,3.0,-13.590714467845745
22697,-10.681427371369384,2.0,-9.940892610299995
23053,-2.4736378249398436,0.0,-3.5044374287900775
23067,-5.752843157814864,1.0,-5.642332116942202
23134,-3.888481674742195,0.0,-4.470985914227096
23250,-7.197450494146086,1.0,-7.901707804567573
23558,-22.57247460962277,7.0,-22.34079707790547
23666,-6.113118411958065,1.0,-4.989158309813753
23704,-31.997793190564806,10.0,-29.944949601290254
23867,-40.21224245016904,17.0,-40.1669037244784
23932,-8.679672555158854,2.0,-8.539896176936947
24045,-10.498180697864647,2.0,-9.505335670752508
24092,-35.29061586932514,11.0,-32.417492190533174
24289,-3.7118739793325832,0.0,-1.7158719576885229
24426,-2.3597238183842677,0.0,-1.072194532793214
24606,-62.570779338958864,21.0,-77.7951928842997
24644,-29.83589933580372,9.0,-27.05059240687109
24828,-3.343663996165714,0.0,-7.359948957427821
24912,-17.09849555666667,4.0,-17.47733170659227
25090,-16.227394890182044,4.0,-15.433763462463473
25122,-41.5927001333695,17.0,-39.736361079317405
25194,-19.788812724105245,4.0,-17.829288409601197
25332,-23.938808719997887,8.0,-23.22783664939021
25346,-5.638978456623511,1.0,-4.6813737807594125
25404,-6.022243542099873,1.0,-5.731064386253878
25562,-10.288397530827163,2.0,-9.808404117167614
25637,-52.68817947402635,22.0,-49.16131511657814
25672,-24.593525111218025,8.0,-27.051203805912923
25724,-13.701916040888545,3.0,-14.811742618105642
25772,-39.964721299457494,18.0,-40.75397428438429
25964,-37.8171455648269,15.0,-38.16114638007879
26063,-17.15535809384604,4.0,-18.841843410947913
26084,-8.157314640763278,1.0,-8.020915911703401
26101,-16.29901371752051,4.0,-15.58439811395825
26104,-18.7845668848564,6.0,-19.77430789712504
26107,-6.022854217972179,1.0,-9.674456616021752
26211,-16.726813722901998,5.0,-16.190818647197705
26367,-7.799166903689575,1.0,-9.418728531344508
26522,-25.885214613427337,10.0,-31.88620772635695
26692,-7.7553526469606195,1.0,-5.15784221396498
26704,-16.00047060348482,4.0,-15.648572344589857
26871,-37.920374470081576,11.0,-38.84072436986815
26961,-30.791743419642025,12.0,-33.941998164262145
27213,-3.683754378101415,0.0,-2.0720704140748127
27256,-41.43734044749676,12.0,-39.09326305277739
27326,-6.132353569117678,1.0,-6.552430789760013
27377,-44.94092523436226,16.0,-42.29095285054899
27379,-21.366676092003004,8.0,-22.465420129271884
27597,-23.53725321288661,8.0,-22.943360876584325
27699,-30.094219663550852,12.0,-32.93733541385618
27749,-26.867753191703297,9.0,-26.30513149388106
27780,-49.21181721671543,20.0,-45.0364485451516
27859,-9.32818275296344,2.0,-15.904448939910564
28113,-16.161764075850545,4.0,-15.651014643760602
28150,-11.583724732527848,3.0,-11.696056361611356
28171,-10.886044669167706,1.0,-7.4226093415218415
28196,-7.126437015408604,1.0,-4.683936329183608
28272,-17.87484402511448,6.0,-19.889139774324637
28335,-12.88127220811415,4.0,-14.328466006234391
28375,-2.2744092869590924,0.0,-2.4891728222832747
28432,-9.439252183944156,2.0,-8.91888967428295
28436,-2.1704431433352487,0.0,-3.029569763326442
28489,-14.769878714859365,4.0,-14.803108283516275
28523,-18.56945825262772,5.0,-20.95468013513015
28525,-11.659789112227523,3.0,-14.285498854205844
28572,-57.68264910086181,25.0,-57.79364985478647
