user_id,ll_joint,ll_pers,test_purchases,delta_ll
7409,-22.61223849004348,-32.32504430941826,8.0,9.712805819374779
7438,-7.578058280464172,-8.424544709914263,2.0,0.8464864294500911
7613,-68.41399774772673,-67.94442790798222,29.0,-0.4695698397445085
7733,-15.817433368481396,-15.525234965469908,4.0,-0.29219840301148814
7766,-5.3431836326625115,-4.639467012541562,1.0,-0.7037166201209493
7802,-23.047359450199636,-21.907898006288804,6.0,-1.1394614439108324
7841,-0.77590046310172,-0.8739092546142408,0.0,0.09800879151252084
7900,-15.473434459290655,-15.183423269236169,4.0,-0.2900111900544857
7923,-11.577337028992403,-11.57525852492742,3.0,-0.002078504064982667
7949,-5.465244460322153,-5.947624432298755,1.0,0.4823799719766022
8108,-19.47666530546267,-18.202881711478245,5.0,-1.273783593984426
8203,-13.045503129083487,-12.661871482582093,3.0,-0.38363164650139403
8344,-37.63929809553424,-36.66600597428199,14.0,-0.9732921212522498
8403,-9.024215043284881,-8.723145044920681,2.0,-0.30106999836420023
8585,-11.785490630779268,-14.097597008632615,3.0,2.312106377853347
8616,-13.877178914756204,-14.871986423197344,4.0,0.9948075084411396
8766,-8.414941361093094,-9.096472978926677,2.0,0.6815316178335831
8863,-3.7603136563802093,-4.9791700905721905,1.0,1.2188564341919812
8866,-5.1934993535669705,-5.256974699460587,1.0,0.06347534589361636
8876,-6.084301214241612,-6.192345448046255,1.0,0.10804423380464279
8902,-33.722907455282225,-33.63076716519201,12.0,-0.09214029009021374
9099,-5.677391222712784,-5.483108766235657,1.0,-0.1942824564771275
9163,-6.808559014681182,-5.950232496411106,1.0,-0.8583265182700766
9230,-17.09759880961283,-21.913795826609917,5.0,4.816197016997087
9264,-18.813226909837468,-19.347896993863802,4.0,0.5346700840263345
9279,-16.914725605235407,-18.345747078630573,3.0,1.431021473395166
9431,-214.38754088133152,-211.41246637091453,115.0,-2.975074510416988
9434,-13.845697079013926,-14.375018151817365,4.0,0.5293210728034392
9567,-1.4881417853750964,-2.5456903814941145,0.0,1.057548596119018
9591,-35.55755756818595,-33.832657618951714,9.0,-1.724899949234235
9772,-6.560751898446247,-6.767960914120288,1.0,0.20720901567404137
10022,-71.95470183321844,-78.14242717891167,32.0,6.187725345693238
10139,-9.539593340170905,-8.453172919754861,2.0,-1.0864204204160437
10299,-77.03219025998408,-74.20434210149013,29.0,-2.82784815849395
10407,-34.83498359353773,-34.02254617461376,12.0,-0.8124374189239703
10415,-4.875694186610519,-5.195797624980317,1.0,0.3201034383697978
10436,-1.962645854087604,-2.6962044038150594,0.0,0.7335585497274555
10446,-23.967707818589044,-23.357419165582375,6.0,-0.6102886530066698
10503,-15.01027269852753,-15.324127925205717,1.0,0.31385522667818755
10542,-0.2894862512841953,-0.5701933964141045,0.0,0.2807071451299092
10667,-36.4039784527941,-35.821286593075776,15.0,-0.5826918597183237
10714,-5.047384631429787,-5.000463482489423,1.0,-0.046921148940363366
10761,-2.9377633580331985,-3.303636120215332,0.0,0.3658727621821334
10954,-4.902574702279159,-5.191352690689291,1.0,0.288777988410132
11028,-4.886914761859116,-5.0067669990285335,1.0,0.11985223716941729
11085,-29.912404270193022,-29.688508499733953,9.0,-0.2238957704590696
11355,-40.30766304432745,-69.44917249722343,12.0,29.14150945289598
11500,-52.91842918846654,-52.838533672218674,20.0,-0.07989551624786628
11667,-17.78094823262755,-18.765131416278884,5.0,0.9841831836513322
11865,-15.557338882761972,-14.931134795487521,4.0,-0.6262040872744503
11961,-10.771649112773558,-10.203433315416511,2.0,-0.5682157973570465
12020,-5.333289530769794,-5.182648566213634,1.0,-0.15064096455616038
12048,-35.02261770579615,-36.11499262130376,11.0,1.0923749155076123
12174,-44.80934104091311,-47.207376428659316,16.0,2.398035387746205
12187,-9.961136566226223,-9.541341617596581,2.0,-0.41979494862964195
12192,-2.0426640940444023,-1.4813409710145136,0.0,-0.5613231230298887
12396,-38.007594970361914,-36.76212388949158,14.0,-1.245471080870331
12435,-21.56009881328053,-23.29852164823383,6.0,1.738422834953301
12467,-25.929567454680594,-27.78166364900443,6.0,1.8520961943238348
12492,-56.18192167357251,-61.926569415446814,18.0,5.744647741874303
12505,-1.349365827199494,-0.8328237676963033,0.0,-0.5165420595031907
12519,-59.70107675593457,-60.73480453336989,23.0,1.0337277774353169
12547,-19.270157626091958,-18.904618117636648,6.0,-0.3655395084553099
12905,-15.082232910452095,-10.707244630562826,2.0,-4.374988279889269
13012,-23.118247078881033,-25.786507619656486,7.0,2.668260540775453
13187,-67.42248050949371,-66.18340134135717,29.0,-1.2390791681365414
13403,-52.202232923747445,-53.031037777193845,22.0,0.8288048534463996
13435,-15.050178159191736,-14.97354729927397,4.0,-0.07663085991776519
13442,-6.386637478716459,-5.186417438041745,1.0,-1.200220040674714
13495,-9.05657064001192,-8.477461826801866,2.0,-0.5791088132100537
13629,-37.33087319502008,-37.37331804402129,14.0,0.04244484900120682
13731,-17.089383419204456,-16.449016013350224,4.0,-0.6403674058542315
13742,-2.890154967237506,-3.911067836615605,0.0,1.0209128693780989
13915,-13.966829919904312,-13.90156607132117,3.0,-0.06526384858314138
13985,-18.19978001055659,-18.720601625349705,5.0,0.520821614793114
14049,-9.742428915592566,-9.175106408256267,2.0,-0.5673225073362982
14075,-1.1705197574374993,-2.415779715926769,0.0,1.2452599584892698
14098,-4.046522112223279,-5.555266454612907,1.0,1.5087443423896278
14166,-41.372051457538724,-41.73039452549757,15.0,0.35834306795884885
14184,-9.137207772469033,-8.511342217249677,2.0,-0.6258655552193559
14240,-12.82757710336666,-12.538289328102449,3.0,-0.2892877752642118
