user_id,ll_personalized_poisson,ll_experimental_1_additive_hawkes,test_purchases
703387,-0.8739092546142408,-0.904831583322385,0.0
703443,-15.600502197583038,-15.201376265913595,4.0
703448,-21.943156736454988,-21.65746275906371,7.0
703456,-5.490636588471568,-5.532948960343312,1.0
703467,-18.487828145050425,-18.7874614457234,2.0
703483,-14.963610834948813,-15.21743423382331,4.0
703758,-14.635800541484933,-14.835679960073652,4.0
703805,-65.88976283407762,-63.53832458337596,17.0
703872,-11.389591345731725,-8.619748119058182,2.0
703907,-17.307276017481687,-17.044244167702065,5.0
703927,-32.05944734459822,-32.02096962013094,11.0
703944,-8.801149242146616,-8.693358206773226,2.0
704107,-25.636292432621445,-25.966501569848464,8.0
704236,-8.448953907401803,-8.562875553336214,2.0
704316,-1.4813409710145136,-1.5578650791031998,0.0
704407,-14.762360039332965,-14.995087109989214,3.0
704415,-8.814544071102308,-9.446397420434527,1.0
704445,-16.95502595848347,-16.30272161041717,4.0
704470,-66.83680664873177,-67.12486254828906,30.0
704535,-18.291053760425388,-18.619387185702486,5.0
704549,-0.8739092546142408,-1.30002154996878,0.0
704555,-76.66331144537422,-77.35265143620664,38.0
704603,-12.910220564560474,-12.982420742226314,3.0
704637,-5.398875625746587,-5.559012908967415,1.0
704694,-13.13901426796754,-12.908866428349985,3.0
704834,-10.848613235267752,-9.85051995418264,2.0
704988,-19.981553760940262,-20.169297525192423,4.0
705001,-5.534448474927775,-5.58969507606024,1.0
705059,-30.502617515823015,-30.459086710069993,9.0
705167,-26.750232193343848,-26.54749202869826,8.0
705393,-8.153096639839399,-8.234533209604349,2.0
705396,-9.277607516429054,-9.530074776198065,2.0
705398,-8.472997802336298,-8.540883967869648,2.0
705525,-2.371003073525983,-2.4190291811167284,0.0
705608,-2.6962044038150594,-2.701576515709454,0.0
705862,-27.91307823466188,-27.66359764626085,9.0
705904,-4.918903993262377,-4.9998931345514475,1.0
705975,-19.59162668436956,-19.797389844315784,4.0
705986,-46.92413990716474,-46.885070271331,15.0
706104,-8.702681746900758,-8.664011296620817,2.0
706222,-16.402569641648878,-15.67828439423424,4.0
706270,-4.929054647377197,-4.705230990467542,1.0
706423,-11.807443683633196,-11.71199283009986,3.0
706425,-10.889539969867323,-11.174960777232979,2.0
706469,-14.90623544025347,-14.859923037237929,4.0
706542,-12.464516752845238,-12.415698335228381,3.0
706562,-1.177625112814377,-1.1878915711071811,0.0
706603,-28.296745234708478,-28.464261317327995,9.0
706631,-4.073723727275186,-4.116776595434551,0.0
706633,-31.059315772023474,-30.9740486259016,10.0
706863,-15.254307417478662,-14.783721944296126,4.0
706935,-34.30384898325413,-34.66737260422426,12.0
707000,-19.752740085831036,-19.688088679997247,6.0
707076,-2.6962044038150594,-2.7965935931719077,0.0
707091,-28.196550029515006,-26.549751961975616,10.0
707233,-17.337111464746076,-17.72928774620429,5.0
707238,-61.625457729946966,-61.31046136165992,33.0
707325,-33.305849983688184,-30.687241449188516,7.0
707348,-14.549502718914114,-14.169498049887768,4.0
707374,-8.422660964108916,-8.167626936985766,2.0
707438,-1.9993868521834517,-2.2097696121990644,0.0
707451,-55.131644806714284,-55.36007030480732,26.0
707663,-5.12593126941615,-5.424248155369533,0.0
707771,-4.876655439834392,-4.9240832908687935,1.0
707869,-42.61719713315226,-42.9446645816629,16.0
708063,-0.266477538213968,-0.32086125148872635,0.0
708065,-1.4813409710145136,-1.4959593674421443,0.0
708220,-1.3572876748712321,-1.462720588986765,0.0
708243,-63.099682285587335,-55.69908124887903,14.0
708504,-8.843046448744188,-8.8971396051623,0.0
708552,-10.251251064604281,-10.366257796136106,2.0
708766,-18.91562209019187,-18.699699781765716,6.0
708785,-187.8630711127349,-186.5899003621966,125.0
709149,-16.763122637788932,-16.84688631538584,5.0
709172,-66.58357630003995,-63.8890127696287,25.0
709206,-15.875880434433896,-16.092281937222797,4.0
709220,-5.196818385683893,-5.228142340336091,1.0
709237,-4.950190565147365,-5.210462387290275,1.0
709273,-29.733249431786852,-29.91319441914946,11.0
709319,-12.393377116073514,-12.048347028798524,3.0
709329,-19.13292142915644,-18.95538457398947,6.0
709499,-20.906954321614446,-20.31526596748789,6.0
709515,-24.393368223578374,-24.25438815474797,7.0
709672,-27.82330344042943,-27.68689157335121,7.0
709812,-9.610683274453278,-9.721407863236294,2.0
709896,-5.056976328720807,-5.235589323912011,1.0
709906,-23.608667759292427,-23.712159257415802,7.0
710225,-1.7850568292146498,-2.087352339137123,0.0
710300,-9.694268345648826,-8.985659381439604,2.0
710322,-17.704521932136817,-17.877677121387258,5.0
710331,-15.683461299981843,-15.87908059001506,4.0
710346,-10.888215841320866,-10.992569404414063,2.0
710393,-0.8739092546142408,-1.026872629622299,0.0
710395,-16.941592007220184,-17.401813465785086,5.0
710408,-0.8739092546142408,-0.9812850962640339,0.0
710437,-51.184185324077625,-47.6719679180873,16.0
710617,-26.786748131885535,-26.616713425891845,9.0
710646,-3.308810070127736,-3.4934988605086565,0.0
710707,-9.720464739795476,-9.756940222100827,2.0
710741,-21.839026831560766,-22.1262611524712,5.0
710906,-28.400539371926886,-28.715238078133382,9.0
711158,-30.41329923152458,-30.60265376600448,11.0
711339,-9.717327448512483,-9.40034939069469,2.0
711359,-9.283212751227943,-9.631938705917367,2.0
711552,-36.01448116557456,-36.53768335878137,9.0
711589,-26.596380564129944,-24.106671421186057,6.0
711686,-5.505900602197674,-5.6737469145180075,1.0
711853,-38.2464196228757,-36.80525440101932,13.0
711861,-8.52863199114235,-8.338277045330063,2.0
711890,-17.268854101998436,-17.33289458238613,5.0
711947,-15.464962358475809,-15.818493587592037,4.0
711994,-2.9999202620151957,-3.0205977604045144,0.0
712042,-77.18426637448908,-76.19009203066507,37.0
712062,-18.879702912172405,-19.720992586987094,5.0
712334,-20.92652814965185,-21.092239286619474,7.0
712367,-18.545665702530762,-17.78619496436611,5.0
712608,-48.10440456168026,-34.65705971927673,8.0
712632,-29.884851816302888,-30.632823761443984,9.0
712656,-93.24610927586049,-88.83936431997387,33.0
712701,-4.999357263750321,-5.017802571626608,1.0
712861,-19.38539949916606,-19.36363292476059,5.0
712961,-4.93068181403096,-4.628625067405716,1.0
713220,-17.496101405115937,-16.607162115927817,5.0
713312,-23.39154563973413,-23.396031349888514,5.0
713422,-14.996763011586937,-15.085957731031948,2.0
713445,-2.6962044038150594,-2.7311427028194006,0.0
713541,-8.601370255214073,-8.714152672825543,2.0
713604,-10.34098392210267,-10.155629805068047,2.0
713779,-62.580681446522064,-58.80596923699856,27.0
713783,-30.10671140246753,-29.580730710429236,11.0
713881,-18.20462704571027,-18.467898630581633,5.0
714060,-19.544979940274796,-16.53873010222134,4.0
714380,-13.584175657065316,-14.056572047512624,3.0
714398,-3.303636120215332,-3.3303252188038113,0.0
714457,-5.107481693515759,-5.112668568701988,1.0
714627,-25.224633515065513,-24.7761576171661,7.0
714847,-20.124599031334352,-20.109375423582875,6.0
714880,-20.079281126367658,-20.419659228416702,6.0
714897,-0.8739092546142408,-1.0873724043578143,0.0
714922,-22.18994472350948,-22.55382376023682,5.0
715118,-53.095639411437844,-53.401877352708716,26.0
715190,-4.9827084153821355,-5.0426327565806845,1.0
715195,-2.9999202620151957,-3.032242210157664,0.0
715368,-19.841305419694358,-20.336462302014088,5.0
715511,-21.127208549456927,-20.79522117607348,5.0
715525,-1.4813409710145136,-1.5086839307769635,0.0
715564,-4.2147836948157416,-4.25941756145953,0.0
715710,-23.775649835038383,-23.657821212101023,6.0
715900,-5.725287221708805,-5.916010083706882,1.0
715973,-11.66580588136797,-11.459672503787685,3.0
716038,-11.857459049590146,-11.900484440708405,3.0
716060,-8.970939965309688,-9.440985811157312,1.0
716091,-1.4813409710145136,-1.7097675329126614,0.0
716145,-12.747159427425848,-12.600730099308835,3.0
716148,-13.895609373838345,-14.025362609019568,2.0
716163,-22.26790746708536,-20.668757775271686,7.0
716174,-4.935657407062225,-4.991613548447585,1.0
716447,-34.31233169085772,-34.13340178347465,13.0
716618,-78.63108317537393,-74.61945981026379,30.0
716878,-47.03635206801783,-45.17684154023532,17.0
717128,-36.99231191110073,-35.61392987935356,10.0
717242,-34.86887375065262,-29.787574325401714,9.0
717268,-5.4296471276162865,-5.562201738509269,0.0
717285,-53.15390898347949,-52.62776764570585,22.0
717401,-9.128860855400701,-9.06225503115507,2.0
717425,-9.261298528949089,-9.762156195814768,2.0
717518,-8.883755301068836,-9.106311281442204,2.0
717530,-5.280014504729605,-5.356972748238311,1.0
717620,-17.15419019381977,-17.091454478139124,5.0
717646,-52.80070921772296,-52.8388421122964,18.0
717713,-5.366983113416995,-5.4354369960213225,1.0
717846,-88.54848850597138,-56.48606043495756,19.0
717848,-6.874633197433945,-6.960073664484343,1.0
717886,-8.746034635197747,-8.986083051198738,2.0
717965,-15.019078352868908,-15.286300358266038,3.0
717969,-15.850554338291618,-15.893078120144217,4.0
718034,-64.49173055640904,-62.97193974324828,23.0
718047,-5.733362985816423,-5.7762607882173524,0.0
718071,-15.691035736089582,-15.442331341662594,4.0
718091,-5.056109630741788,-5.1113022294497865,1.0
718099,-26.00428967692921,-26.079870218992976,9.0
718162,-5.484607155269052,-5.343781899806324,1.0
718253,-2.3924885456149223,-2.609853518633126,0.0
718258,-9.819468674211281,-10.001165744254752,2.0
718343,-10.70354029057815,-10.512510681791985,2.0
718508,-6.285180042804406,-6.34976215309923,0.0
718653,-1.7850568292146498,-1.9862363642780243,0.0
718654,-11.069718506457132,-11.143608223900147,2.0
718989,-49.47366086704006,-49.77571777796564,24.0
719155,-5.0023179170448735,-5.071525775523853,1.0
719301,-5.75064927547034,-5.776484392345457,1.0
719372,-1.177625112814377,-1.2122549003564114,0.0
719611,-11.856138676162585,-11.900052360616211,3.0
719642,-27.137407375225447,-27.215796012364393,9.0
719761,-37.92277856535026,-38.33459954734973,14.0
719769,-8.416887071398488,-8.50542324088128,2.0
719812,-15.486018841844109,-15.778451849704318,4.0
719859,-6.467624052284071,-6.678315650541225,1.0
719900,-7.617725198319938,-7.77805015502055,0.0
719911,-0.5701933964141045,-0.6593177716401688,0.0
719943,-26.93616052286682,-26.9795355956782,9.0
720021,-10.592816717018605,-10.662118867306141,0.0
720174,-16.39431165442826,-16.57197879341443,4.0
720212,-30.529181145322607,-31.03485602995675,8.0
720305,-17.77158332853185,-18.078022477082555,4.0
720536,-21.093225220422358,-20.66997645881153,5.0
720675,-32.314310272299096,-32.94018577278632,11.0
720732,-27.821799471143255,-27.674616472140592,9.0
720788,-30.23665782281443,-29.983413565880983,9.0
721103,-81.56025201803398,-79.14481733600348,44.0
