lambda_l2,target,source,alpha,lam_u_mean,mean_baseline_train,mean_hawkes_train,hawkes_train_nll,hawkes_test_nll,delta_train,delta_test
0.1,to_cart,to_ord,0.0,0.7402796173286932,0.27821472093547284,0.0937407853613696,0.8337761172146952,0.9862113192296231,-0.011275230246469592,-0.045937524123418116
0.1,to_ord,searches,0.005189752839186348,0.7869584915507873,0.08108216592460135,0.02077722086778397,0.31515194939455954,0.4021264290445851,-0.0010792562174201659,-0.007461643304141008
0.1,to_ord,to_cart,0.005356377400925176,0.7869584915507873,0.08108216592460135,0.02077722086778397,0.31515194939455954,0.4021264290445851,-0.0010792562174201659,-0.007461643304141008
0.1,to_ord,to_ord,0.020959702531784793,0.7869584915507873,0.08108216592460135,0.02077722086778397,0.31515194939455954,0.4021264290445851,-0.0010792562174201659,-0.007461643304141008
0.3,searches,searches,0.13236575945910373,0.7150727312829702,0.8634546920625598,0.33889728027114313,1.8583427426430252,2.094445622930297,-0.05365903712945719,-0.15747891902226785
0.3,searches,to_cart,0.027493423943987242,0.7150727312829702,0.8634546920625598,0.33889728027114313,1.8583427426430252,2.094445622930297,-0.05365903712945719,-0.15747891902226785
0.3,searches,to_ord,0.0,0.7150727312829702,0.8634546920625598,0.33889728027114313,1.8583427426430252,2.094445622930297,-0.05365903712945719,-0.15747891902226785
0.3,to_cart,searches,0.014356332184809056,0.7311917753556006,0.2743496877095032,0.09534542550071157,0.8343083253088637,0.9863337643053101,-0.010743022152301163,-0.04581507904773119
0.3,to_cart,to_cart,0.08131341401876016,0.7311917753556006,0.2743496877095032,0.09534542550071157,0.8343083253088637,0.9863337643053101,-0.010743022152301163,-0.04581507904773119
0.3,to_cart,to_ord,0.0,0.7311917753556006,0.2743496877095032,0.09534542550071157,0.8343083253088637,0.9863337643053101,-0.010743022152301163,-0.04581507904773119
0.3,to_ord,searches,0.004747869887217439,0.7788794293894027,0.0801211905508098,0.020901470791075495,0.31546927962555116,0.4005644570592248,-0.0007619259864285466,-0.009023615289501352
0.3,to_ord,to_cart,0.005256639442930548,0.7788794293894027,0.0801211905508098,0.020901470791075495,0.31546927962555116,0.4005644570592248,-0.0007619259864285466,-0.009023615289501352
0.3,to_ord,to_ord,0.02712365085413491,0.7788794293894027,0.0801211905508098,0.020901470791075495,0.31546927962555116,0.4005644570592248,-0.0007619259864285466,-0.009023615289501352
0.5,searches,searches,0.13389838762032902,0.7091854222319434,0.857523937339771,0.34249474518118783,1.8583621213270725,2.0935669367826204,-0.053639658445409966,-0.15835760516994446
0.5,searches,to_cart,0.027375192332009416,0.7091854222319434,0.857523937339771,0.34249474518118783,1.8583621213270725,2.0935669367826204,-0.053639658445409966,-0.15835760516994446
0.5,searches,to_ord,0.0,0.7091854222319434,0.857523937339771,0.34249474518118783,1.8583621213270725,2.0935669367826204,-0.053639658445409966,-0.15835760516994446
0.5,to_cart,searches,0.015651380989932673,0.7051352769770323,0.26473712131857846,0.0996188032094029,0.8335930849205996,0.9838833408374187,-0.011458262540565256,-0.04826550251562256
0.5,to_cart,to_cart,0.08286275921093848,0.7051352769770323,0.26473712131857846,0.0996188032094029,0.8335930849205996,0.9838833408374187,-0.011458262540565256,-0.04826550251562256
0.5,to_cart,to_ord,0.0,0.7051352769770323,0.26473712131857846,0.0996188032094029,0.8335930849205996,0.9838833408374187,-0.011458262540565256,-0.04826550251562256
0.5,to_ord,searches,0.00502374490831631,0.7782769454732401,0.08010809490227311,0.021172433806073872,0.3152211616297831,0.4010546466912955,-0.0010100439821966178,-0.008533425657430649
0.5,to_ord,to_cart,0.005436870496057155,0.7782769454732401,0.08010809490227311,0.021172433806073872,0.3152211616297831,0.4010546466912955,-0.0010100439821966178,-0.008533425657430649
0.5,to_ord,to_ord,0.024547228913085032,0.7782769454732401,0.08010809490227311,0.021172433806073872,0.3152211616297831,0.4010546466912955,-0.0010100439821966178,-0.008533425657430649
1.0,searches,searches,0.1352638943840495,0.7056512867611443,0.8525936340728327,0.34462947159573226,1.8586308482288019,2.092911947603757,-0.053370931543680555,-0.15901259434880766
1.0,searches,to_cart,0.025838675838854915,0.7056512867611443,0.8525936340728327,0.34462947159573226,1.8586308482288019,2.092911947603757,-0.053370931543680555,-0.15901259434880766
1.0,searches,to_ord,0.0,0.7056512867611443,0.8525936340728327,0.34462947159573226,1.8586308482288019,2.092911947603757,-0.053370931543680555,-0.15901259434880766
1.0,to_cart,searches,0.01509948271630207,0.7397872701147834,0.27803700103626244,0.0936492179653514,0.8338864617148184,0.9868133158152259,-0.011164885746346442,-0.045335527537815334
1.0,to_cart,to_cart,0.07665614398307231,0.7397872701147834,0.27803700103626244,0.0936492179653514,0.8338864617148184,0.9868133158152259,-0.011164885746346442,-0.045335527537815334
1.0,to_cart,to_ord,0.0,0.7397872701147834,0.27803700103626244,0.0936492179653514,0.8338864617148184,0.9868133158152259,-0.011164885746346442,-0.045335527537815334
1.0,to_ord,searches,0.005007005779746444,0.7380321271524284,0.07580093640422446,0.022707562662439285,0.3161525183712847,0.3998954117296008,-7.868724069498567e-05,-0.009692660619125326
1.0,to_ord,to_cart,0.0056213275692958585,0.7380321271524284,0.07580093640422446,0.022707562662439285,0.3161525183712847,0.3998954117296008,-7.868724069498567e-05,-0.009692660619125326
