n_days,model,n_runs,mean_nll,median_nll,std_nll,min_nll,max_nll
63,Joint Hawkes (λ_u + α),18,0.375115791559651,0.37379214679439293,0.03406190816962292,0.3200389956788194,0.4463092739668505
63,Pooled Hawkes (c·b_t + α^T s),18,0.3678062100538834,0.36519269786349784,0.03218291376037427,0.3184354979653465,0.4380626871325799
63,GBDT (experimental),18,0.3549305060481822,0.35344996174500987,0.030514501162492515,0.3096276463408893,0.4204212517863748
84,Global Poisson,14,0.4068890678723465,0.3844521895874778,0.038713963654799795,0.3664062704545885,0.4606882988356957
84,Rolling Poisson,14,0.40674860708908345,0.3843978305990331,0.03852240317002258,0.3664553525319727,0.4593188884454235
84,Rolling Seasonal,14,0.40670677536863425,0.3843835040278629,0.038513443464659944,0.3664190655889068,0.4591337359709117
84,Personalized Gamma-Poisson,14,0.35970264240218996,0.335354102863506,0.03964687270454927,0.3192717650904882,0.4142753367289909
84,Scaled-baseline Hawkes,14,0.3563512796842017,0.3331213231678777,0.03825556470747336,0.3171751305513907,0.4087484087814279
84,Joint Hawkes (λ_u + α),14,0.3599524077100801,0.3367312971992362,0.03686322135331876,0.3225689800005971,0.4099162427893603
84,Pooled Hawkes (c·b_t + α^T s),14,0.3570660334447062,0.3349448112598726,0.03596549691348314,0.3208533933311194,0.4046972086209763
84,GBDT (experimental),14,0.34464335597464985,0.32246674320548524,0.03467983924930635,0.3086406587555362,0.391236668991428
114,Global Poisson,10,0.3997366555103498,0.38378414921067455,0.03020268698301344,0.3752044619172117,0.4532962879042068
114,Rolling Poisson,10,0.39951930037591843,0.3837506304603734,0.02995787101322058,0.3751881673531266,0.4532876713133195
114,Rolling Seasonal,10,0.39948036591889213,0.38367743560905004,0.029969216304295106,0.3751967940213446,0.4534210905936847
114,Personalized Gamma-Poisson,10,0.3525970188629813,0.33474517277996885,0.030572709304762774,0.3277923413654267,0.4061646554018708
114,Scaled-baseline Hawkes,10,0.34758318189621173,0.3303623259092496,0.02924887346135435,0.324012624710019,0.399204958079048
114,Joint Hawkes (λ_u + α),10,0.3487384208492587,0.33160785634556056,0.028761678822475885,0.3259961653916628,0.4002456674116381
114,Pooled Hawkes (c·b_t + α^T s),10,0.3501142494923422,0.3341567648879201,0.02838482152217156,0.3273772862722676,0.4017960024689252
114,GBDT (experimental),10,0.3368439619074505,0.32027834545660894,0.028056738579068947,0.3154675356585695,0.386696168914544
153,Global Poisson,8,0.40980173184166324,0.40598312527596353,0.021743491107603683,0.388630850834203,0.4598187070816054
153,Rolling Poisson,8,0.4091492666450376,0.4054664851860666,0.02124066558935837,0.3883500914128653,0.4579443779311997
153,Rolling Seasonal,8,0.40909867075839323,0.40543108675766626,0.021243908365128288,0.3883128261125489,0.4578976722875332
153,Personalized Gamma-Poisson,8,0.36403949001291813,0.36192897467283247,0.02093820787703846,0.3418578234211408,0.4100954694026655
153,Scaled-baseline Hawkes,8,0.35677802761604693,0.354711497640402,0.019733665299932018,0.335850612281944,0.4003521910194262
153,Joint Hawkes (λ_u + α),8,0.3568962571137727,0.35455787430182645,0.01953671730834597,0.3355383850484048,0.3997683909897617
153,Pooled Hawkes (c·b_t + α^T s),8,0.35992050433147627,0.3575028912589945,0.019059818156571054,0.3400763342833034,0.402709229208515
153,GBDT (experimental),8,0.34639601408348386,0.3441464795507274,0.01934747515583677,0.3253126112462413,0.3886889511864563
198,Global Poisson,6,0.43507514859406365,0.43851814279171397,0.018306840814762377,0.4056065002871314,0.4566684304777581
198,Rolling Poisson,6,0.43342062768803546,0.4366280610981726,0.017858237354756064,0.4048201594752869,0.4547744762989549
198,Rolling Seasonal,6,0.43337232534652886,0.4365700131826312,0.017847784574442787,0.4047990296848232,0.4547579956801363
198,Personalized Gamma-Poisson,6,0.3911412184066485,0.3956680895635447,0.016945985387635015,0.3626114297713539,0.4096134177362513
198,Scaled-baseline Hawkes,6,0.38070826732726565,0.3846328191451775,0.016088134441943507,0.3541601164300092,0.398920753357202
198,Joint Hawkes (λ_u + α),6,0.3783960203552716,0.3812581914085669,0.015748024253374775,0.3530782828522404,0.3970326869344615
198,Pooled Hawkes (c·b_t + α^T s),6,0.3823555950183666,0.38527766265307417,0.015935976596508368,0.3568481661067512,0.4014452691556613
198,GBDT (experimental),6,0.3694423702330685,0.37249532003944186,0.015203204133168065,0.3452439702465743,0.3874487587841957
