interval_start,train_end,test_start,test_end,test_rows,Global Poisson,Rolling Poisson,Rolling Seasonal,Personalized Gamma-Poisson,Scaled-baseline Hawkes,Scaled-baseline Hawkes_alpha_norm,Scaled-baseline Hawkes_c,Scaled-baseline Hawkes_m_u_mean,Joint Hawkes (λ_u + α),Joint Hawkes (λ_u + α)_alpha_norm,Joint Hawkes (λ_u + α)_m_u_mean,Joint Hawkes (λ_u + α)_lambda_median,Pooled Hawkes (c·b_t + α^T s),Pooled Hawkes (c·b_t + α^T s)_alpha_norm,Pooled Hawkes (c·b_t + α^T s)_c,Pooled Hawkes (c·b_t + α^T s)_m_u_mean,GBDT (experimental),n_days,m_idx
2025-06-09,2025-06-18,2025-06-19,2025-06-23,49212,0.39590024601711377,0.3959189805080575,0.39603903580781524,0.3653142876009367,0.3653142875874891,0.0,0.9999999885734969,1.0168144840642777,0.35463306904264674,0.0441140001684283,0.7636654151971115,0.46601152847340443,0.3488916187783055,0.0700585339560753,0.32544716473884,0.32544716473884,0.33733101650301994,15,22
2025-06-10,2025-06-19,2025-06-20,2025-06-24,49219,0.40366297098532616,0.4036831984472755,0.4037758305110988,0.37584266176304726,0.37584266176709463,0.0,0.9999999928359213,1.0162311377245623,0.362465063859591,0.04109822878068661,0.7634823151289054,0.47086321028420836,0.35603215488956713,0.06689044612661132,0.32130195855550475,0.32130195855550475,0.34330294659110433,15,23
2025-06-12,2025-06-21,2025-06-22,2025-06-26,49233,0.4258546703481485,0.4256963018695077,0.42566746944182665,0.39591246229960103,0.3959124623585446,0.0,0.9999999891907051,0.9960201260197786,0.37970178913609126,0.04179394905856345,0.7593246266997064,0.4720056270274346,0.3710092643705924,0.06848003254114317,0.3177934567324913,0.3177934567324913,0.3568921527348072,15,24
2025-06-17,2025-06-26,2025-06-27,2025-07-01,49251,0.39740109917881267,0.3974425598331673,0.3974856806426881,0.368474510747786,0.36847451115768515,0.0,1.0000000723331168,1.0317236394853586,0.3535944828739799,0.053833577856860555,0.7547314022855031,0.4676173532149044,0.3469939693266924,0.08056331124388187,0.30708442521052753,0.30708442521052753,0.3359884896525399,15,25
2025-06-19,2025-06-28,2025-06-29,2025-07-03,49261,0.4073122692005345,0.40733922913290893,0.4074589926403144,0.37889428876811,0.37889429295887683,0.0,1.0000005798608225,1.0105798947342706,0.3643006869720038,0.05332133010295257,0.7517041854186048,0.46308234865787845,0.35674246293552686,0.07841941236466762,0.3018638048699037,0.3018638048699037,0.3438102986594699,15,26
2025-06-25,2025-07-04,2025-07-05,2025-07-09,49327,0.40368246739680275,0.4037048396579718,0.40371621434513716,0.3760945631756046,0.3760945630091321,0.0,1.000000053212687,1.0039403601389518,0.360092873362776,0.05515689890868786,0.742038801798289,0.4522745086405542,0.3549595093256114,0.08045784790814359,0.2788863923868924,0.2788863923868924,0.3472667100842621,15,27
2025-06-30,2025-07-09,2025-07-10,2025-07-14,49354,0.41950982683607163,0.4194006716509571,0.4194479507544563,0.39180119699451094,0.3918011971099904,0.0,0.9999999771168389,0.9977475964866097,0.37610290576441247,0.055587365979663496,0.742501486422745,0.4550981500080415,0.36915470864006944,0.08229141182715939,0.2874597801738464,0.2874597801738464,0.35769214929787635,15,28
2025-07-09,2025-07-18,2025-07-19,2025-07-23,49404,0.4163538257919928,0.41635806820430216,0.41632403913395816,0.3887088642132925,0.38870886420307665,0.0,0.999999998649789,1.0304644297747705,0.37195653655295363,0.048823974912405754,0.7530223153889474,0.4408153110601353,0.36377975077491465,0.07518376304791587,0.3232069310733827,0.3232069310733827,0.35528696836864787,15,29
2025-07-21,2025-07-30,2025-07-31,2025-08-04,49471,0.40232799289552335,0.40224877511001744,0.40222152039191905,0.37752127976631406,0.3775212795117695,0.0,1.0000000958186381,0.9935967554303168,0.3642049858801286,0.048019378615572844,0.7480353281733092,0.4391014193237686,0.35675197223974237,0.07418077921906809,0.3215344184080438,0.3215344184080438,0.3462325618476088,15,30
2025-07-28,2025-08-06,2025-08-07,2025-08-11,49475,0.4275715323834773,0.4275597237637899,0.42751826533478027,0.4032285637955622,0.40322856328079704,0.0,1.0000003722146331,1.0507909051563011,0.3851495504552388,0.049993244899994876,0.7568042291269446,0.4451717647641334,0.3774615074483876,0.07590954129498378,0.3362914741209892,0.3362914741209892,0.36629683003711905,15,31
