user_id,ll_personalized_poisson,ll_experimental_gbdt,test_purchases
16483,-6.978902668331797,-6.025543537890907,1.0
16492,-10.11552719617462,-10.318153757997495,2.0
16612,-11.579178197462957,-12.425122019157806,3.0
16907,-10.16899842201474,-10.50494490841974,2.0
16982,-5.372125809819854,-5.954728698656137,1.0
17104,-12.709337410008105,-12.267747308350726,3.0
17189,-23.650230479961596,-20.201592303544757,4.0
17225,-5.0042138182440565,-4.539465432701849,1.0
17237,-99.7374829355563,-106.99046639193918,39.0
17415,-12.844174445926582,-12.697918903344302,3.0
17601,-12.53740789796954,-12.310280222315193,3.0
17775,-12.393591135488546,-11.320133581632009,3.0
17838,-2.3924885456149223,-2.039572264677178,0.0
17863,-8.740436560727746,-8.57734532481663,2.0
17920,-23.40393327332484,-15.681741800187824,2.0
17932,-7.9875274753965595,-6.430545329553589,1.0
17991,-21.71605077828469,-21.82399054164465,7.0
18119,-42.350096079065075,-46.77912314669936,13.0
18187,-15.309123321932631,-16.61032853207232,4.0
18267,-10.541363552401569,-10.863992426548295,2.0
18268,-25.601173281427954,-24.00605504212199,8.0
18345,-18.833985930531576,-19.786822888619504,5.0
18402,-12.337376985854991,-14.141864083487256,3.0
18519,-12.232208060013074,-14.497126656611648,3.0
18566,-11.681267254360417,-11.496316887450021,3.0
18853,-52.562176581930046,-49.9071359021498,18.0
18929,-4.2147836948157416,-1.7690386747086344,0.0
18945,-41.20483326338436,-39.749853664444636,12.0
19029,-29.047306673680204,-25.2454908830464,7.0
19200,-31.874611055807897,-32.64140895576527,11.0
19260,-5.010196454677137,-5.299717119172869,1.0
19277,-14.994362296504672,-15.631766885357088,4.0
19293,-30.641397287664116,-31.216148257939075,12.0
19325,-335.1331673509709,-284.8021474480119,108.0
19532,-46.27692502574474,-46.07689931208802,16.0
19687,-17.806581982551872,-16.530795255204684,5.0
19734,-10.874869831347851,-9.823196989170162,2.0
19792,-4.929054647377197,-5.492596190353267,1.0
19814,-20.080868829221398,-20.827211532832877,6.0
19905,-8.510386927810512,-7.086874753392892,2.0
20014,-14.575432238263348,-10.26747674381287,3.0
20026,-28.396676535755905,-32.24192367847691,7.0
20107,-23.894151080050406,-19.811343328871015,6.0
20293,-33.99682963594414,-32.65692241912945,9.0
20416,-14.528400621468371,-13.947395366219828,4.0
20426,-24.307795181591,-25.004417879135474,7.0
20473,-5.4296471276162865,-3.0939122964055916,0.0
20569,-1.177625112814377,-2.041737509137402,0.0
20598,-119.35471205888616,-127.42563588524794,58.0
20768,-14.23740701542024,-4.095232413747663,0.0
20776,-20.336440831319642,-22.176062587985175,6.0
20888,-10.2002725185414,-10.083863772029748,2.0
20971,-44.51333041144796,-46.22396236087737,16.0
20981,-9.031574941394886,-8.824399845629825,2.0
21033,-25.011252369478825,-23.95208907018298,8.0
21056,-0.2788113642509729,-1.041419231479119,0.0
21277,-12.36906266177575,-13.38258502300033,3.0
21339,-70.29391900085683,-70.67103918872036,15.0
21403,-5.083147690892124,-6.018520753920053,1.0
21455,-18.762153206722832,-18.50803601787968,5.0
21600,-31.844268389919037,-32.79476313486948,12.0
21659,-19.065572322286076,-18.979652777164713,6.0
21720,-27.747425665060803,-27.78864215862788,8.0
21817,-11.866117156610507,-7.324315680617263,1.0
21867,-8.967099111149569,-9.483003058955875,2.0
22023,-42.79495228380413,-43.5827418333005,17.0
22033,-11.550677573774461,-12.203730850275507,3.0
22044,-1.177625112814377,-1.3444818795925524,0.0
22072,-28.14481149120515,-29.58867152269335,9.0
22188,-67.30964390976341,-65.30358371166591,27.0
22226,-68.40878773211944,-60.3445269336739,23.0
22235,-15.151983915214347,-12.942025240702872,3.0
22348,-0.8739092546142408,-1.4551804637691095,0.0
22349,-9.250781286910403,-9.967440242186797,2.0
22385,-12.742395908073235,-13.854097901063604,3.0
22399,-13.12871510908697,-12.914814842123912,3.0
22697,-9.874721977067855,-10.276474835751747,2.0
23053,-4.034846149808562,-1.5128333590218008,0.0
23067,-5.819708320088983,-5.283978631660014,1.0
23134,-4.518499553015877,-3.4773383891519765,0.0
23250,-8.174543201224175,-7.0577931999320755,1.0
23558,-22.878146465581814,-22.627233730081844,7.0
23666,-5.00590081011509,-5.502239744020684,1.0
23704,-29.78571747064507,-29.461989635818362,10.0
23867,-41.704358920806854,-41.22902225003242,17.0
23932,-8.554771887628878,-8.961187960615534,2.0
24045,-8.68906572637555,-9.413264007571328,2.0
24092,-32.90185211739077,-31.61056700190397,11.0
24289,-1.4813409710145136,-1.9955959601875641,0.0
24426,-1.177625112814377,-1.3556047526930122,0.0
24606,-90.5656407256333,-65.29827574520948,21.0
24644,-27.134577025170657,-28.220288059425833,9.0
24828,-8.46680570961765,-5.083794185110705,0.0
24912,-17.06295656254096,-17.08957858311372,4.0
25090,-15.048029177641169,-15.793104567058254,4.0
25122,-40.14667050566923,-40.059395676530904,17.0
25194,-17.696946703162265,-20.762205634649014,4.0
