window_idx,start,target,source,alpha,c
4,2025-04-06,searches,searches,0.07500963239164454,0.8407886095688326
4,2025-04-06,searches,to_cart,0.015396817678122956,0.8407886095688326
4,2025-04-06,searches,to_ord,0.0,0.8407886095688326
4,2025-04-06,to_cart,searches,0.005245401960218702,0.9032881847481511
4,2025-04-06,to_cart,to_cart,0.031673366920538265,0.9032881847481511
4,2025-04-06,to_cart,to_ord,0.0,0.9032881847481511
4,2025-04-06,to_ord,searches,0.0007178989267085296,0.9679858085083936
4,2025-04-06,to_ord,to_cart,0.002120996263423918,0.9679858085083936
4,2025-04-06,to_ord,to_ord,0.0,0.9679858085083936
5,2025-05-15,searches,searches,0.08044649923399291,0.8283951280517244
5,2025-05-15,searches,to_cart,0.016536911967950502,0.8283951280517244
5,2025-05-15,searches,to_ord,0.0,0.8283951280517244
5,2025-05-15,to_cart,searches,0.006536340618857659,0.892918712933809
5,2025-05-15,to_cart,to_cart,0.03345786510947277,0.892918712933809
5,2025-05-15,to_cart,to_ord,0.0,0.892918712933809
5,2025-05-15,to_ord,searches,0.001265571114401876,0.9531917483323178
5,2025-05-15,to_ord,to_cart,0.0026896790595093865,0.9531917483323178
5,2025-05-15,to_ord,to_ord,0.0,0.9531917483323178
6,2025-05-26,searches,searches,0.08283448071154455,0.8240991740773878
6,2025-05-26,searches,to_cart,0.016267983275775853,0.8240991740773878
6,2025-05-26,searches,to_ord,0.0,0.8240991740773878
6,2025-05-26,to_cart,searches,0.006936579836367547,0.888466489258088
6,2025-05-26,to_cart,to_cart,0.034728505293900536,0.888466489258088
6,2025-05-26,to_cart,to_ord,0.0,0.888466489258088
6,2025-05-26,to_ord,searches,0.0015494696208523627,0.9467036513617941
6,2025-05-26,to_ord,to_cart,0.0022739501076686703,0.9467036513617941
6,2025-05-26,to_ord,to_ord,0.0016627559264710814,0.9467036513617941
7,2025-06-05,searches,searches,0.08487185090109738,0.8187791590736624
7,2025-06-05,searches,to_cart,0.017665228130266566,0.8187791590736624
7,2025-06-05,searches,to_ord,0.0,0.8187791590736624
7,2025-06-05,to_cart,searches,0.007109193586874474,0.883850265114297
7,2025-06-05,to_cart,to_cart,0.036457873024115656,0.883850265114297
7,2025-06-05,to_cart,to_ord,0.0,0.883850265114297
7,2025-06-05,to_ord,searches,0.0015252035015363703,0.9425416256172134
7,2025-06-05,to_ord,to_cart,0.002565477512517371,0.9425416256172134
7,2025-06-05,to_ord,to_ord,0.0030506548795781485,0.9425416256172134
8,2025-06-24,searches,searches,0.08744552711187717,0.8127525623751229
8,2025-06-24,searches,to_cart,0.019810146562936806,0.8127525623751229
8,2025-06-24,searches,to_ord,0.0,0.8127525623751229
8,2025-06-24,to_cart,searches,0.007229136394617574,0.8778830884351986
8,2025-06-24,to_cart,to_cart,0.039444509844614034,0.8778830884351986
8,2025-06-24,to_cart,to_ord,0.0,0.8778830884351986
8,2025-06-24,to_ord,searches,0.0015108935611416595,0.936652898496434
8,2025-06-24,to_ord,to_cart,0.002915426471852071,0.936652898496434
8,2025-06-24,to_ord,to_ord,0.005461985630829515,0.936652898496434
9,2025-07-21,searches,searches,0.08828469232344942,0.812119478877418
9,2025-07-21,searches,to_cart,0.018824684234381994,0.812119478877418
9,2025-07-21,searches,to_ord,0.0,0.812119478877418
9,2025-07-21,to_cart,searches,0.006822966283718551,0.8786937895963606
9,2025-07-21,to_cart,to_cart,0.039981117819825204,0.8786937895963606
9,2025-07-21,to_cart,to_ord,0.0,0.8786937895963606
9,2025-07-21,to_ord,searches,0.00136119607615816,0.9351985595985712
9,2025-07-21,to_ord,to_cart,0.0036577944234522266,0.9351985595985712
9,2025-07-21,to_ord,to_ord,0.005385191896163427,0.9351985595985712
